# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               17.59 |       56,838,949.45 |    0.6% |          159.00 |           52.42 |  3.033 |          20.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     1.6% |               34.80 |       28,732,676.37 |    1.3% |          264.81 |          103.54 |  2.558 |          37.07 |    0.2% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.1% |               19.17 |       52,174,172.77 |    1.4% |          125.39 |           56.61 |  2.215 |          12.92 |    1.0% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               31.22 |       32,034,686.65 |    1.1% |          115.51 |           92.45 |  1.249 |          11.52 |    3.8% |      0.34 | `1d_runge deg=6 dim=1 N=1000000`
|   131.7% |               13.36 |       74,876,036.28 |    0.9% |          138.00 |           39.79 |  3.468 |          18.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     3.2% |               17.30 |       57,797,806.93 |    0.7% |          194.88 |           51.44 |  3.788 |          25.63 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               12.15 |       82,334,968.24 |    0.8% |          104.86 |           35.92 |  2.919 |          10.39 |    0.2% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               32.39 |       30,875,262.12 |    1.4% |          100.36 |           95.60 |  1.050 |           9.85 |    7.1% |      0.36 | `1d_runge deg=8 dim=1 N=1000000`
|   120.1% |               14.64 |       68,291,283.72 |    3.5% |          138.00 |           43.61 |  3.164 |          18.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
|     3.8% |               14.64 |       68,329,069.93 |    6.1% |          158.41 |           43.55 |  3.638 |          19.60 |    0.0% |      0.01 | :wavy_dash: `1d_runge deg=10 dim=1 N=32` (Unstable with ~2,286.7 iters. Increase `minEpochIterations` to e.g. 22867)
|     0.1% |               12.04 |       83,083,942.12 |    1.7% |           96.05 |           35.93 |  2.673 |           9.50 |    0.1% |      0.01 | `1d_runge deg=10 dim=1 N=1024`
|     0.0% |               27.02 |       37,007,443.42 |    2.2% |           93.05 |           80.23 |  1.160 |           9.16 |    5.7% |      0.30 | `1d_runge deg=10 dim=1 N=1000000`
|   126.9% |               13.86 |       72,143,049.63 |    1.0% |          138.00 |           41.19 |  3.350 |          18.25 |    0.0% |      0.01 | `1d_erf deg=8 dim=1 N=1`
|     3.2% |               17.11 |       58,459,767.81 |    2.8% |          172.38 |           50.94 |  3.384 |          21.35 |    0.3% |      0.01 | `1d_erf deg=8 dim=1 N=32`
|     0.1% |               13.96 |       71,612,612.53 |    2.1% |          102.04 |           41.70 |  2.447 |           9.77 |    0.9% |      0.01 | `1d_erf deg=8 dim=1 N=1024`
|     0.0% |               21.16 |       47,261,248.46 |    0.5% |           98.97 |           62.92 |  1.573 |           9.41 |    3.1% |      0.23 | `1d_erf deg=8 dim=1 N=1000000`
|    97.5% |               18.05 |       55,417,010.12 |    3.5% |          160.00 |           53.74 |  2.977 |          20.25 |    0.0% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1`
|     2.5% |               22.22 |       44,997,672.88 |    1.4% |          245.84 |           65.96 |  3.727 |          33.60 |    0.1% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=32`
|     0.1% |               16.47 |       60,728,470.54 |    1.6% |          120.39 |           48.93 |  2.460 |          12.12 |    0.6% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1024`
|     0.0% |               19.89 |       50,276,225.12 |    0.5% |          112.63 |           59.33 |  1.899 |          11.18 |    0.9% |      0.22 | `1d_bessel_j0 deg=8 dim=1 N=1000000`
|   170.6% |               10.31 |       96,974,450.35 |    1.3% |          116.00 |           30.63 |  3.788 |          16.25 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1`
|     4.3% |               12.84 |       77,869,581.39 |    0.9% |          141.72 |           38.04 |  3.726 |          17.63 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=32`
|     0.2% |                9.98 |      100,225,591.20 |    1.3% |           89.13 |           29.77 |  2.994 |           8.84 |    0.1% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1024`
|     0.0% |               30.82 |       32,451,628.01 |    0.6% |           85.26 |           91.66 |  0.930 |           8.38 |   11.6% |      0.34 | `1d_tanh_sharp deg=10 dim=1 N=1000000`
|   114.8% |               15.32 |       65,264,909.46 |    1.5% |          149.00 |           45.50 |  3.275 |          19.25 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=1`
|     3.9% |               14.04 |       71,246,778.18 |    2.1% |          148.75 |           41.91 |  3.550 |          18.51 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=32`
|     0.2% |               11.38 |       87,890,695.86 |    1.1% |           92.37 |           33.96 |  2.720 |           9.24 |    0.1% |      0.01 | `1d_log1p deg=8 dim=1 N=1024`
