# baobzi pack/scatter bench (nanobench, xsimd lane_w=8)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 800.0 and 4,600.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi pack/scatter
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:--------------------
|   100.0% |                4.00 |      249,777,515.22 |    1.8% |           54.00 |           12.37 |  4.366 |           7.00 |    0.0% |      0.24 | `1d_runge eval_pack<1> deg=8`
|    99.3% |                4.03 |      247,924,372.69 |    2.9% |           54.00 |           12.46 |  4.334 |           7.00 |    0.0% |      0.25 | `1d_runge scalar_loop<1> deg=8`
|    25.2% |                3.97 |      252,030,352.21 |    1.6% |           49.25 |           12.26 |  4.017 |           5.50 |    0.0% |      0.24 | `1d_runge eval_pack<4> deg=8`
|    25.6% |                3.91 |      255,676,284.86 |    0.1% |           55.25 |           12.08 |  4.573 |           7.50 |    0.0% |      0.24 | `1d_runge scalar_loop<4> deg=8`
|    12.9% |                3.89 |      257,324,687.52 |    0.0% |           48.63 |           12.00 |  4.051 |           5.25 |    0.0% |      0.24 | `1d_runge eval_pack<8> deg=8`
|    12.8% |                3.91 |      255,716,291.51 |    0.3% |           54.63 |           12.08 |  4.523 |           7.25 |    0.0% |      0.24 | `1d_runge scalar_loop<8> deg=8`
|     6.4% |                3.90 |      256,710,390.85 |    0.4% |           48.31 |           12.03 |  4.016 |           5.13 |    0.0% |      0.23 | `1d_runge eval_pack<16> deg=8`
|     6.4% |                3.89 |      256,910,202.52 |    0.0% |           54.31 |           12.02 |  4.518 |           7.13 |    0.0% |      0.24 | `1d_runge scalar_loop<16> deg=8`
|     3.3% |                3.83 |      261,419,801.79 |    0.2% |           51.44 |           11.82 |  4.353 |           7.06 |    0.0% |      0.24 | `1d_runge eval_pack<32> deg=8`
|     3.2% |                3.89 |      257,137,051.82 |    0.0% |           54.16 |           12.01 |  4.507 |           7.06 |    0.0% |      0.24 | `1d_runge scalar_loop<32> deg=8`
|     3.2% |                3.94 |      253,699,284.88 |    2.1% |           51.34 |           12.18 |  4.216 |           7.03 |    0.0% |      0.25 | `1d_runge eval_pack<64> deg=8`
|     3.2% |                3.96 |      252,370,460.64 |    1.9% |           54.08 |           12.24 |  4.418 |           7.03 |    0.0% |      0.24 | `1d_runge scalar_loop<64> deg=8`
|     3.1% |                4.05 |      246,634,420.43 |    0.0% |           51.71 |           12.53 |  4.128 |           7.16 |    0.1% |      0.24 | `1d_runge eval_pack<128> deg=8`
|     3.2% |                3.90 |      256,299,486.31 |    0.0% |           54.04 |           12.05 |  4.483 |           7.02 |    0.1% |      0.24 | `1d_runge scalar_loop<128> deg=8`
|     3.0% |                4.15 |      240,813,576.26 |    0.1% |           51.56 |           12.82 |  4.021 |           7.13 |    0.1% |      0.24 | `1d_runge eval_pack<256> deg=8`
|     3.2% |                3.89 |      256,895,073.16 |    0.0% |           54.02 |           12.03 |  4.492 |           7.01 |    0.1% |      0.24 | `1d_runge scalar_loop<256> deg=8`
|     3.7% |                3.37 |      296,689,162.38 |    0.8% |           37.25 |           10.40 |  3.580 |           4.55 |    0.9% |      0.24 | `1d_runge eval_pack<1024> deg=8`
|     3.2% |                3.93 |      254,186,735.10 |    1.2% |           54.00 |           12.15 |  4.443 |           7.00 |    0.0% |      0.24 | `1d_runge scalar_loop<1024> deg=8`
|    87.0% |                4.60 |      217,321,543.12 |    2.7% |           58.00 |           14.22 |  4.079 |           7.00 |    0.0% |      0.24 | `1d_runge eval_pack<1> deg=10`
|    86.3% |                4.64 |      215,596,236.82 |    0.9% |           58.00 |           14.33 |  4.047 |           7.00 |    0.0% |      0.24 | `1d_runge scalar_loop<1> deg=10`
|    22.5% |                4.44 |      225,121,792.75 |    0.0% |           53.25 |           13.72 |  3.881 |           5.50 |    0.0% |      0.24 | `1d_runge eval_pack<4> deg=10`
|    21.4% |                4.67 |      214,039,066.82 |    1.8% |           59.25 |           14.43 |  4.105 |           7.50 |    0.0% |      0.24 | `1d_runge scalar_loop<4> deg=10`
|    10.6% |                4.73 |      211,360,392.74 |    3.2% |           52.63 |           14.62 |  3.599 |           5.25 |    0.0% |      0.24 | `1d_runge eval_pack<8> deg=10`
|    10.9% |                4.57 |      218,707,393.56 |    0.1% |           58.63 |           14.13 |  4.149 |           7.25 |    0.0% |      0.24 | `1d_runge scalar_loop<8> deg=10`
|     5.6% |                4.47 |      223,647,496.06 |    0.0% |           52.31 |           13.82 |  3.787 |           5.13 |    0.0% |      0.24 | `1d_runge eval_pack<16> deg=10`
|     5.5% |                4.57 |      218,642,121.70 |    0.1% |           58.31 |           14.13 |  4.128 |           7.13 |    0.0% |      0.24 | `1d_runge scalar_loop<16> deg=10`
|     2.8% |                4.49 |      222,777,642.30 |    1.8% |           55.44 |           13.87 |  3.998 |           7.06 |    0.1% |      0.24 | `1d_runge eval_pack<32> deg=10`
|     2.7% |                4.57 |      218,755,591.37 |    0.1% |           58.16 |           14.12 |  4.118 |           7.06 |    0.0% |      0.24 | `1d_runge scalar_loop<32> deg=10`
|     2.9% |                4.34 |      230,270,353.39 |    0.0% |           55.34 |           13.42 |  4.125 |           7.03 |    0.0% |      0.25 | `1d_runge eval_pack<64> deg=10`
|     2.7% |                4.57 |      218,648,937.82 |    0.2% |           58.08 |           14.13 |  4.110 |           7.03 |    0.0% |      0.24 | `1d_runge scalar_loop<64> deg=10`
|     2.7% |                4.55 |      219,630,791.23 |    0.1% |           55.71 |           14.06 |  3.961 |           7.16 |    0.1% |      0.24 | `1d_runge eval_pack<128> deg=10`
|     2.7% |                4.59 |      217,777,603.59 |    0.2% |           58.04 |           14.19 |  4.090 |           7.02 |    0.1% |      0.24 | `1d_runge scalar_loop<128> deg=10`
|     2.7% |                4.64 |      215,394,737.51 |    0.0% |           55.56 |           14.34 |  3.873 |           7.13 |    0.1% |      0.24 | `1d_runge eval_pack<256> deg=10`
|     2.7% |                4.71 |      212,351,447.66 |    2.7% |           58.02 |           14.55 |  3.987 |           7.01 |    0.1% |      0.23 | `1d_runge scalar_loop<256> deg=10`
|     3.7% |                3.42 |      292,715,839.95 |    0.2% |           36.05 |           10.55 |  3.418 |           4.35 |    0.7% |      0.25 | `1d_runge eval_pack<1024> deg=10`
|     2.7% |                4.58 |      218,506,837.16 |    0.1% |           58.00 |           14.14 |  4.102 |           7.00 |    0.0% |      0.24 | `1d_runge scalar_loop<1024> deg=10`
|   102.3% |                3.91 |      255,568,035.40 |    0.0% |           54.00 |           12.09 |  4.468 |           7.00 |    0.0% |      0.24 | `1d_erf eval_pack<1> deg=8`
|   103.1% |                3.88 |      257,450,075.43 |    0.1% |           54.00 |           12.00 |  4.501 |           7.00 |    0.0% |      0.24 | `1d_erf scalar_loop<1> deg=8`
|    25.4% |                3.95 |      253,317,630.49 |    1.2% |           49.25 |           12.19 |  4.039 |           5.50 |    0.0% |      0.24 | `1d_erf eval_pack<4> deg=8`
