# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               27.70 |       36,101,522.34 |    0.3% |          147.00 |           82.55 |  1.781 |          19.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     2.1% |               40.71 |       24,566,937.93 |    6.1% |          258.13 |          121.15 |  2.131 |          36.66 |    0.1% |      0.01 | :wavy_dash: `1d_runge deg=6 dim=1 N=32` (Unstable with ~841.7 iters. Increase `minEpochIterations` to e.g. 8417)
|     0.1% |               32.08 |       31,168,080.11 |    1.2% |          120.02 |           95.63 |  1.255 |          12.89 |    1.5% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               53.19 |       18,799,364.66 |    2.2% |          110.15 |          157.94 |  0.697 |          11.52 |    4.0% |      0.60 | `1d_runge deg=6 dim=1 N=1000000`
|   128.7% |               21.53 |       46,450,697.57 |    0.3% |          130.00 |           64.15 |  2.026 |          17.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     3.2% |               27.26 |       36,689,818.36 |    1.1% |          189.72 |           81.33 |  2.333 |          25.60 |    0.1% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               19.65 |       50,896,584.92 |    1.0% |          100.12 |           58.67 |  1.707 |          10.38 |    0.2% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               54.42 |       18,376,913.17 |    0.8% |           95.67 |          162.11 |  0.590 |           9.85 |    7.2% |      0.61 | `1d_runge deg=8 dim=1 N=1000000`
|   123.4% |               22.45 |       44,535,674.01 |    0.2% |          129.00 |           66.91 |  1.928 |          17.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
|     4.1% |               21.14 |       47,301,366.33 |    0.3% |          154.25 |           63.13 |  2.443 |          19.60 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=32`
|     0.2% |               15.82 |       63,221,894.03 |    0.3% |           92.02 |           47.14 |  1.952 |           9.50 |    0.1% |      0.01 | `1d_runge deg=10 dim=1 N=1024`
|     0.0% |               46.35 |       21,577,231.31 |    2.6% |           89.05 |          137.92 |  0.646 |           9.16 |    5.8% |      0.53 | `1d_runge deg=10 dim=1 N=1000000`
|   127.9% |               21.65 |       46,183,694.03 |    0.6% |          130.00 |           64.47 |  2.016 |          17.25 |    0.0% |      0.01 | `1d_erf deg=8 dim=1 N=1`
|     3.6% |               23.97 |       41,715,781.86 |    0.2% |          163.84 |           71.48 |  2.292 |          21.48 |    0.3% |      0.01 | `1d_erf deg=8 dim=1 N=32`
|     0.1% |               20.24 |       49,408,368.46 |    3.1% |           93.76 |           60.37 |  1.553 |           9.78 |    0.9% |      0.01 | `1d_erf deg=8 dim=1 N=1024`
|     0.0% |               36.23 |       27,599,639.74 |    0.7% |           90.72 |          107.93 |  0.841 |           9.41 |    3.2% |      0.41 | `1d_erf deg=8 dim=1 N=1000000`
