# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               17.09 |       58,523,706.04 |    4.7% |          147.00 |           50.90 |  2.888 |          19.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     1.9% |               28.08 |       35,616,164.51 |    2.9% |          258.13 |           83.80 |  3.080 |          36.66 |    0.1% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.1% |               23.78 |       42,050,018.53 |    2.6% |          120.02 |           70.91 |  1.693 |          12.89 |    1.6% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               30.01 |       33,321,115.59 |    1.6% |          110.15 |           89.39 |  1.232 |          11.52 |    4.0% |      0.33 | `1d_runge deg=6 dim=1 N=1000000`
|   135.6% |               12.60 |       79,349,769.33 |    4.5% |          130.00 |           37.66 |  3.452 |          17.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     3.1% |               17.36 |       57,616,316.12 |    0.9% |          189.72 |           51.43 |  3.689 |          25.60 |    0.1% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               13.18 |       75,867,362.51 |    2.9% |          100.12 |           39.34 |  2.545 |          10.38 |    0.1% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               31.37 |       31,877,783.13 |    1.1% |           95.67 |           93.44 |  1.024 |           9.85 |    7.1% |      0.34 | `1d_runge deg=8 dim=1 N=1000000`
|   133.9% |               12.76 |       78,354,029.17 |    2.2% |          129.00 |           38.14 |  3.383 |          17.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
|     4.0% |               13.32 |       75,094,400.56 |    1.7% |          154.25 |           39.66 |  3.890 |          19.60 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=32`
|     0.2% |               10.14 |       98,612,963.38 |    2.3% |           92.02 |           30.28 |  3.039 |           9.50 |    0.1% |      0.01 | `1d_runge deg=10 dim=1 N=1024`
|     0.0% |               25.51 |       39,205,068.62 |    0.2% |           89.05 |           76.08 |  1.171 |           9.16 |    5.8% |      0.28 | `1d_runge deg=10 dim=1 N=1000000`
|   138.2% |               12.36 |       80,888,335.81 |    0.7% |          130.00 |           36.93 |  3.520 |          17.25 |    0.0% |      0.01 | `1d_erf deg=8 dim=1 N=1`
|     3.7% |               14.31 |       69,881,721.31 |    0.7% |          163.84 |           42.36 |  3.868 |          21.48 |    0.3% |      0.01 | `1d_erf deg=8 dim=1 N=32`
|     0.1% |               11.60 |       86,200,765.18 |    0.4% |           93.76 |           34.55 |  2.714 |           9.78 |    0.9% |      0.01 | `1d_erf deg=8 dim=1 N=1024`
|     0.0% |               20.44 |       48,927,341.43 |    1.0% |           90.72 |           60.83 |  1.491 |           9.41 |    3.2% |      0.23 | `1d_erf deg=8 dim=1 N=1000000`
|   101.6% |               16.81 |       59,485,704.19 |    0.1% |          148.00 |           50.21 |  2.947 |          19.25 |    0.0% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1`
|     2.3% |               22.88 |       43,706,280.10 |    0.5% |          239.72 |           68.38 |  3.505 |          33.60 |    0.2% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=32`
|     0.1% |               15.63 |       63,995,403.32 |    0.6% |          114.35 |           46.65 |  2.451 |          12.12 |    0.9% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1024`
|     0.0% |               19.81 |       50,473,040.91 |    0.3% |          106.62 |           59.07 |  1.805 |          11.18 |    1.1% |      0.22 | `1d_bessel_j0 deg=8 dim=1 N=1000000`
|   175.0% |                9.77 |      102,395,758.82 |    0.3% |          111.00 |           29.16 |  3.806 |          15.25 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1`
|     4.7% |               11.29 |       88,599,957.03 |    0.4% |          138.38 |           33.70 |  4.106 |          17.60 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=32`
|     0.2% |                8.81 |      113,508,261.90 |    0.3% |           85.84 |           26.22 |  3.274 |           8.84 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1024`
|     0.0% |               29.13 |       34,331,727.43 |    0.5% |           82.04 |           86.75 |  0.946 |           8.38 |   11.6% |      0.32 | `1d_tanh_sharp deg=10 dim=1 N=1000000`
|   113.8% |               15.02 |       66,577,378.34 |    0.3% |          139.00 |           44.83 |  3.101 |          18.25 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=1`
|     4.3% |               12.52 |       79,872,177.65 |    1.0% |          145.03 |           37.37 |  3.881 |          18.48 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=32`
|     0.2% |                9.41 |      106,295,104.13 |    0.2% |           88.70 |           28.11 |  3.156 |           9.24 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=1024`
|     0.0% |               31.66 |       31,588,378.66 |    0.7% |           85.86 |           94.49 |  0.909 |           8.87 |   10.4% |      0.35 | `1d_log1p deg=8 dim=1 N=1000000`
|    44.0% |               38.87 |       25,727,455.03 |    0.7% |          255.00 |          115.51 |  2.208 |          27.00 |    0.0% |      0.01 | `2d_bump deg=6 dim=2 N=1`
|     0.0% |            3,945.56 |          253,449.51 |    1.0% |       57,652.38 |       11,703.90 |  4.926 |       8,386.53 |    0.0% |      0.01 | `2d_bump deg=6 dim=2 N=32`
|     0.0% |              232.50 |        4,301,025.59 |    5.7% |        2,288.10 |          692.33 |  3.305 |         312.72 |    0.8% |      0.01 | :wavy_dash: `2d_bump deg=6 dim=2 N=1024` (Unstable with ~3.9 iters. Increase `minEpochIterations` to e.g. 39)
|     0.0% |               90.35 |       11,067,689.61 |    1.8% |          251.34 |          269.31 |  0.933 |          18.71 |    4.7% |      1.01 | `2d_bump deg=6 dim=2 N=1000000`
|    33.2% |               51.50 |       19,416,911.19 |    0.1% |          257.00 |          153.74 |  1.672 |          25.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.2% |              322.96 |        3,096,334.71 |    1.4% |        4,542.97 |          964.80 |  4.709 |         639.41 |    0.1% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               65.11 |       15,359,340.45 |    1.1% |          626.86 |          193.96 |  3.232 |          64.60 |    0.5% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               49.42 |       20,235,116.27 |    0.4% |          200.77 |          146.95 |  1.366 |          13.23 |    4.5% |      0.54 | `2d_bump deg=8 dim=2 N=1000000`
|    32.8% |               52.16 |       19,172,434.64 |    0.4% |          298.00 |          155.28 |  1.919 |          28.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              156.67 |        6,382,758.61 |    1.8% |        1,526.16 |          467.79 |  3.263 |         185.53 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               57.22 |       17,475,819.29 |    1.0% |          515.51 |          170.29 |  3.027 |          43.42 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               40.39 |       24,757,806.14 |    0.3% |          204.49 |          120.14 |  1.702 |          12.20 |    3.3% |      0.44 | `2d_bump deg=10 dim=2 N=1000000`
|    34.1% |               50.08 |       19,969,597.26 |    2.6% |          258.00 |          149.62 |  1.724 |          28.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.6% |               87.58 |       11,418,417.65 |    4.2% |        1,053.03 |          261.21 |  4.031 |         130.34 |    0.4% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               47.13 |       21,218,200.48 |    0.7% |          452.76 |          140.17 |  3.230 |          38.84 |    0.2% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               26.50 |       37,731,473.63 |    0.2% |          182.47 |           78.85 |  2.314 |          11.79 |    0.0% |      0.29 | `2d_osc deg=8 dim=2 N=1000000`
|    44.4% |               38.52 |       25,960,349.92 |    0.1% |          230.00 |          115.12 |  1.998 |          26.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.2% |               45.89 |       21,793,410.12 |    2.7% |          475.66 |          136.56 |  3.483 |          45.19 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               18.23 |       54,862,953.47 |    0.6% |          177.68 |           54.45 |  3.263 |          12.51 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               19.42 |       51,481,053.27 |    0.7% |          149.03 |           57.77 |  2.580 |           9.75 |    0.0% |      0.21 | `2d_mq deg=8 dim=2 N=1000000`
|    20.9% |               81.69 |       12,241,704.72 |    0.6% |          540.00 |          242.85 |  2.224 |          35.00 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.0% |            1,361.42 |          734,527.38 |    1.5% |       18,360.23 |        4,064.58 |  4.517 |       2,571.69 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              276.23 |        3,620,169.72 |   10.0% |        2,019.43 |          813.21 |  2.483 |         188.31 |    1.8% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~3.2 iters. Increase `minEpochIterations` to e.g. 32)
|     0.0% |               57.78 |       17,307,733.28 |    3.2% |          361.13 |          172.26 |  2.096 |          18.03 |    0.3% |      0.65 | `3d_gauss deg=6 dim=3 N=1000000`
|    13.1% |              130.03 |        7,690,768.71 |    0.9% |          857.00 |          386.80 |  2.216 |          33.00 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.2% |              264.44 |        3,781,563.34 |    3.7% |        2,579.81 |          787.42 |  3.276 |         213.03 |    0.2% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              186.72 |        5,355,614.92 |    1.8% |        1,702.51 |          554.21 |  3.072 |         116.61 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |               43.83 |       22,817,409.27 |    0.6% |          417.41 |          130.66 |  3.195 |          11.99 |    0.0% |      0.48 | `3d_gauss deg=8 dim=3 N=1000000`
|     8.4% |              203.24 |        4,920,355.92 |    0.2% |        1,400.00 |          603.33 |  2.320 |          32.00 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              415.91 |        2,404,354.00 |    4.0% |        3,745.06 |        1,241.35 |  3.017 |         246.28 |    0.5% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |               94.45 |       10,587,640.36 |    0.5% |          929.22 |          280.88 |  3.308 |          32.32 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |               61.93 |       16,147,835.63 |    0.6% |          641.73 |          184.50 |  3.478 |          10.89 |    0.0% |      0.68 | `3d_gauss deg=10 dim=3 N=1000000`
|    13.1% |              130.65 |        7,654,322.08 |    0.8% |          857.00 |          390.47 |  2.195 |          33.00 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.2% |              257.53 |        3,882,970.50 |    5.5% |        2,598.28 |          767.81 |  3.384 |         215.62 |    0.1% |      0.01 | :wavy_dash: `3d_yukawa deg=8 dim=3 N=32` (Unstable with ~143.4 iters. Increase `minEpochIterations` to e.g. 1434)
|     0.0% |              163.52 |        6,115,545.24 |    2.0% |        1,487.35 |          486.07 |  3.060 |          99.52 |    0.5% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |               50.70 |       19,723,373.38 |    0.8% |          414.51 |          150.92 |  2.746 |          11.84 |    2.1% |      0.56 | `3d_yukawa deg=8 dim=3 N=1000000`
|    12.8% |              133.55 |        7,487,748.91 |    0.7% |          857.00 |          396.72 |  2.160 |          33.00 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              299.65 |        3,337,209.64 |    2.4% |        2,763.91 |          895.52 |  3.086 |         248.03 |    0.2% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              220.20 |        4,541,346.21 |    4.0% |        1,726.34 |          654.54 |  2.637 |         122.81 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |               52.86 |       18,917,611.46 |    2.9% |          420.92 |          157.37 |  2.675 |          12.21 |    1.4% |      0.58 | `3d_imq deg=8 dim=3 N=1000000`
