# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               17.37 |       57,566,382.11 |    0.5% |          159.00 |           51.77 |  3.071 |          20.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     1.6% |               34.68 |       28,836,667.54 |    0.6% |          264.81 |          102.96 |  2.572 |          37.07 |    0.2% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.1% |               17.69 |       56,524,726.71 |    0.6% |          125.39 |           52.60 |  2.384 |          12.92 |    0.9% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               28.73 |       34,803,947.45 |    0.9% |          115.51 |           85.69 |  1.348 |          11.52 |    3.8% |      0.32 | `1d_runge deg=6 dim=1 N=1000000`
|   139.4% |               12.46 |       80,271,462.72 |    1.2% |          138.00 |           36.96 |  3.734 |          18.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     3.1% |               17.62 |       56,744,072.29 |    0.8% |          194.88 |           52.43 |  3.717 |          25.63 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               11.60 |       86,179,962.70 |    1.6% |          104.86 |           34.45 |  3.044 |          10.39 |    0.2% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               30.52 |       32,766,786.85 |    0.5% |          100.36 |           90.58 |  1.108 |           9.85 |    7.1% |      0.34 | `1d_runge deg=8 dim=1 N=1000000`
|   129.4% |               13.42 |       74,512,158.35 |    1.2% |          138.00 |           39.77 |  3.470 |          18.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
