# A = bench/A2_baseline.txt    B = bench/C_struct.txt
cell                                       A MEvals/s   B MEvals/s     B/A    A cyc    B cyc
1d_bessel_j0   deg= 8 dim=1 N=1                 76.89        42.58    0.55    38.96    70.35
1d_bessel_j0   deg= 8 dim=1 N=32                46.48        35.10    0.76    64.44    85.34
1d_bessel_j0   deg= 8 dim=1 N=1024              66.73        63.76    0.96    44.89    46.98
1d_bessel_j0   deg= 8 dim=1 N=1000000           53.72        49.13    0.91    55.76    60.97
1d_erf         deg= 8 dim=1 N=1                111.34        69.20    0.62    26.90    43.29
1d_erf         deg= 8 dim=1 N=32                68.04        72.29    1.06    44.02    41.43
1d_erf         deg= 8 dim=1 N=1024              79.04        89.26    1.13    37.90    33.56
1d_erf         deg= 8 dim=1 N=1000000           51.37        48.24    0.94    58.31    62.10
1d_log1p       deg= 8 dim=1 N=1                 80.95        48.99    0.61    37.00    61.13
1d_log1p       deg= 8 dim=1 N=32                77.30        81.21    1.05    38.75    36.88
1d_log1p       deg= 8 dim=1 N=1024              96.12       103.13    1.07    31.16    29.04
1d_log1p       deg= 8 dim=1 N=1000000           27.90        27.88    1.00   107.34   107.44
1d_runge       deg= 6 dim=1 N=1                 68.25        41.11    0.60    43.89    72.85
1d_runge       deg= 6 dim=1 N=32                38.52        39.77    1.03    77.76    75.32
1d_runge       deg= 6 dim=1 N=1024              53.38        47.91    0.90    56.11    62.52
1d_runge       deg= 6 dim=1 N=1000000           31.82        33.00    1.04    94.13    90.78
1d_runge       deg= 8 dim=1 N=1                103.45        70.89    0.69    28.95    42.25
1d_runge       deg= 8 dim=1 N=32                57.82        64.76    1.12    51.80    46.25
1d_runge       deg= 8 dim=1 N=1024              76.46        95.16    1.24    39.18    31.48
1d_runge       deg= 8 dim=1 N=1000000           33.16        33.58    1.01    90.31    89.20
1d_runge       deg=10 dim=1 N=1                 94.84        72.45    0.76    31.58    41.34
1d_runge       deg=10 dim=1 N=32                77.64        82.15    1.06    38.58    36.46
1d_runge       deg=10 dim=1 N=1024              99.87       109.72    1.10    29.99    27.30
1d_runge       deg=10 dim=1 N=1000000           40.84        39.14    0.96    73.35    76.52
1d_tanh_sharp  deg=10 dim=1 N=1                159.27       128.26    0.81    18.81    23.35
1d_tanh_sharp  deg=10 dim=1 N=32                83.28        79.05    0.95    35.96    37.89
1d_tanh_sharp  deg=10 dim=1 N=1024             106.19        96.16    0.91    28.20    31.15
1d_tanh_sharp  deg=10 dim=1 N=1000000           33.92        30.57    0.90    88.30    97.99
2d_bump        deg= 6 dim=2 N=1                 28.66        26.05    0.91   104.52   114.97
2d_bump        deg= 6 dim=2 N=32                 0.24         0.26    1.08  12385.31  11604.56
2d_bump        deg= 6 dim=2 N=1024               5.12         4.79    0.94   584.63   624.81
2d_bump        deg= 6 dim=2 N=1000000           10.80        12.10    1.12   277.31   247.58
2d_bump        deg= 8 dim=2 N=1                 18.10        20.55    1.14   165.48   145.79
2d_bump        deg= 8 dim=2 N=32                 3.03         2.94    0.97   987.41  1018.74
2d_bump        deg= 8 dim=2 N=1024              15.50        12.41    0.80   193.30   241.34
2d_bump        deg= 8 dim=2 N=1000000           20.70        16.12    0.78   144.66   185.82
2d_bump        deg=10 dim=2 N=1                 20.91        18.11    0.87   143.23   165.42
2d_bump        deg=10 dim=2 N=32                 6.63         6.56    0.99   451.87   456.33
2d_bump        deg=10 dim=2 N=1024              18.38        18.12    0.99   163.00   165.33
2d_bump        deg=10 dim=2 N=1000000           25.14        21.50    0.86   119.12   139.32
2d_mq          deg= 8 dim=2 N=1                 27.05        24.45    0.90   110.75   122.51
2d_mq          deg= 8 dim=2 N=32                21.39        21.57    1.01   140.00   138.88
2d_mq          deg= 8 dim=2 N=1024              54.89        52.86    0.96    54.56    56.66
2d_mq          deg= 8 dim=2 N=1000000           52.72        48.11    0.91    56.81    62.26
2d_osc         deg= 8 dim=2 N=1                 23.22        18.20    0.78   129.01   164.57
2d_osc         deg= 8 dim=2 N=32                11.34         9.94    0.88   264.23   301.18
2d_osc         deg= 8 dim=2 N=1024              22.52        19.31    0.86   132.98   155.13
2d_osc         deg= 8 dim=2 N=1000000           36.22        29.88    0.82    82.70   100.26
3d_gauss       deg= 6 dim=3 N=1                 12.57        11.33    0.90   238.25   264.29
3d_gauss       deg= 6 dim=3 N=32                 0.78         0.70    0.90  3846.78  4258.86
3d_gauss       deg= 6 dim=3 N=1024               4.37         4.30    0.98   685.62   696.35
3d_gauss       deg= 6 dim=3 N=1000000           16.84        16.79    1.00   177.87   178.41
3d_gauss       deg= 8 dim=3 N=1                  8.70         7.85    0.90   344.23   381.68
3d_gauss       deg= 8 dim=3 N=32                 3.81         3.78    0.99   787.00   792.70
3d_gauss       deg= 8 dim=3 N=1024               5.29         5.95    1.12   566.72   503.81
3d_gauss       deg= 8 dim=3 N=1000000           15.66        23.35    1.49   191.26   128.26
3d_gauss       deg=10 dim=3 N=1                  4.60         5.17    1.12   651.47   578.83
3d_gauss       deg=10 dim=3 N=32                 2.61         2.65    1.02  1146.37  1130.74
3d_gauss       deg=10 dim=3 N=1024              11.17        10.35    0.93   268.26   289.53
3d_gauss       deg=10 dim=3 N=1000000           13.85        13.04    0.94   216.26   229.62
3d_imq         deg= 8 dim=3 N=1                  7.64         8.77    1.15   392.03   341.66
3d_imq         deg= 8 dim=3 N=32                 3.41         3.75    1.10   879.10   797.76
3d_imq         deg= 8 dim=3 N=1024               5.44         5.39    0.99   550.85   555.52
3d_imq         deg= 8 dim=3 N=1000000           16.45        19.37    1.18   182.11   154.61
3d_yukawa      deg= 8 dim=3 N=1                  7.97         7.81    0.98   375.66   383.70
3d_yukawa      deg= 8 dim=3 N=32                 3.93         4.00    1.02   761.21   749.07
3d_yukawa      deg= 8 dim=3 N=1024               6.63         6.76    1.02   451.69   443.00
3d_yukawa      deg= 8 dim=3 N=1000000           17.89        20.61    1.15   167.43   145.37
