# A = bench/baseline_nanobench.txt    B = bench/phase2_nanobench.txt
cell                                       A MEvals/s  A err%   B MEvals/s  B err%     B/A
1d_bessel_j0 deg=8 dim=1 N=1                    55.42    3.5%        45.59    0.3%    0.82
1d_bessel_j0 deg=8 dim=1 N=1000000              50.28    0.5%        44.62    0.6%    0.89
1d_bessel_j0 deg=8 dim=1 N=1024                 60.73    1.6%        55.55    0.4%    0.91
1d_bessel_j0 deg=8 dim=1 N=32                   45.00    1.4%        38.90    0.3%    0.86
1d_erf deg=8 dim=1 N=1                          72.14    1.0%        58.96    0.2%    0.82
1d_erf deg=8 dim=1 N=1000000                    47.26    0.5%        38.68    1.1%    0.82
1d_erf deg=8 dim=1 N=1024                       71.61    2.1%        74.90    1.4%    1.05
1d_erf deg=8 dim=1 N=32                         58.46    2.8%        57.62    0.7%    0.99
1d_log1p deg=8 dim=1 N=1                        65.26    1.5%        51.08    0.5%    0.78
1d_log1p deg=8 dim=1 N=1000000                  29.54    0.2%        22.91    0.5%    0.78
1d_log1p deg=8 dim=1 N=1024                     87.89    1.1%        85.96    1.4%    0.98
1d_log1p deg=8 dim=1 N=32                       71.25    2.1%        62.81    1.4%    0.88
1d_runge deg=10 dim=1 N=1                       68.29    3.5%        52.68    2.0%    0.77
1d_runge deg=10 dim=1 N=1000000                 37.01    2.2%        30.12    2.1%    0.81
1d_runge deg=10 dim=1 N=1024                    83.08    1.7%        79.66    1.3%    0.96
1d_runge deg=10 dim=1 N=32                      68.33    6.1%        59.35    0.7%    0.87 !
1d_runge deg=6 dim=1 N=1                        56.84    0.6%        39.14    0.3%    0.69
1d_runge deg=6 dim=1 N=1000000                  32.03    1.1%        20.49    4.1%    0.64
1d_runge deg=6 dim=1 N=1024                     52.17    1.4%        32.27    1.6%    0.62
1d_runge deg=6 dim=1 N=32                       28.73    1.3%        27.68    1.3%    0.96
1d_runge deg=8 dim=1 N=1                        74.88    0.9%        48.19    0.6%    0.64
