# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               15.05 |       66,425,407.63 |    4.7% |          147.00 |           44.99 |  3.267 |          19.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     2.0% |               23.49 |       42,573,823.59 |    1.8% |          258.13 |           69.47 |  3.716 |          36.66 |    0.1% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.1% |               20.41 |       49,005,934.31 |    3.3% |          120.02 |           59.63 |  2.013 |          12.89 |    1.5% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               29.03 |       34,450,344.41 |    1.0% |          110.15 |           86.44 |  1.274 |          11.52 |    4.0% |      0.32 | `1d_runge deg=6 dim=1 N=1000000`
|   118.0% |               12.76 |       78,359,500.71 |    4.1% |          130.00 |           38.08 |  3.414 |          17.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     2.8% |               17.06 |       58,616,143.54 |    0.7% |          189.72 |           50.62 |  3.748 |          25.60 |    0.1% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               11.07 |       90,325,003.84 |    0.9% |          100.12 |           33.07 |  3.027 |          10.38 |    0.1% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               31.80 |       31,444,133.13 |    1.0% |           95.67 |           94.75 |  1.010 |           9.85 |    7.2% |      0.35 | `1d_runge deg=8 dim=1 N=1000000`
|   113.7% |               13.24 |       75,536,119.20 |    3.2% |          129.00 |           39.53 |  3.263 |          17.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
|     3.3% |               14.10 |       70,900,315.02 |    2.6% |          154.25 |           42.14 |  3.660 |          19.60 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=32`
|     0.1% |               10.35 |       96,603,857.20 |    2.7% |           92.02 |           30.93 |  2.975 |           9.50 |    0.1% |      0.01 | `1d_runge deg=10 dim=1 N=1024`
|     0.0% |               26.56 |       37,656,249.43 |    1.2% |           89.05 |           79.07 |  1.126 |           9.16 |    5.8% |      0.29 | `1d_runge deg=10 dim=1 N=1000000`
|   120.1% |               12.53 |       79,778,127.95 |    3.2% |          130.00 |           37.36 |  3.480 |          17.25 |    0.0% |      0.01 | `1d_erf deg=8 dim=1 N=1`
|     3.0% |               15.75 |       63,509,011.60 |    2.9% |          163.84 |           47.06 |  3.482 |          21.48 |    0.3% |      0.01 | `1d_erf deg=8 dim=1 N=32`
|     0.1% |               12.34 |       81,027,562.43 |    2.1% |           93.76 |           36.88 |  2.542 |           9.78 |    0.9% |      0.01 | `1d_erf deg=8 dim=1 N=1024`
|     0.0% |               20.22 |       49,443,782.17 |    0.5% |           90.72 |           60.31 |  1.504 |           9.41 |    3.2% |      0.22 | `1d_erf deg=8 dim=1 N=1000000`
|    94.5% |               15.93 |       62,759,949.68 |    2.4% |          148.00 |           47.48 |  3.117 |          19.25 |    0.0% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1`
|     2.0% |               23.81 |       41,997,659.61 |    1.3% |          239.72 |           70.50 |  3.400 |          33.60 |    0.2% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=32`
|     0.1% |               15.92 |       62,826,060.70 |    1.7% |          114.35 |           47.51 |  2.407 |          12.12 |    0.9% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1024`
|     0.0% |               18.31 |       54,606,625.88 |    0.3% |          106.62 |           54.46 |  1.958 |          11.18 |    1.1% |      0.20 | `1d_bessel_j0 deg=8 dim=1 N=1000000`
|   158.5% |                9.50 |      105,316,189.00 |    3.2% |          111.00 |           28.38 |  3.912 |          15.25 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1`
|     3.8% |               12.23 |       81,764,146.97 |    1.4% |          138.38 |           36.32 |  3.810 |          17.60 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=32`
|     0.2% |                9.73 |      102,768,157.41 |    2.7% |           85.84 |           29.01 |  2.959 |           8.84 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1024`
|     0.0% |               29.33 |       34,096,602.84 |    1.1% |           82.04 |           86.72 |  0.946 |           8.38 |   11.6% |      0.32 | `1d_tanh_sharp deg=10 dim=1 N=1000000`
|    99.2% |               15.18 |       65,871,657.91 |    0.3% |          139.00 |           45.31 |  3.067 |          18.25 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=1`
|     3.6% |               12.91 |       77,446,102.53 |    2.2% |          145.03 |           38.56 |  3.761 |          18.48 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=32`
|     0.2% |                9.73 |      102,802,213.66 |    0.8% |           88.70 |           29.00 |  3.058 |           9.24 |    0.1% |      0.01 | `1d_log1p deg=8 dim=1 N=1024`
|     0.0% |               33.82 |       29,572,185.99 |    2.0% |           85.86 |          100.90 |  0.851 |           8.87 |   10.4% |      0.37 | `1d_log1p deg=8 dim=1 N=1000000`
|    38.2% |               39.42 |       25,366,015.89 |    0.4% |          255.00 |          117.82 |  2.164 |          27.00 |    0.0% |      0.01 | `2d_bump deg=6 dim=2 N=1`
|     0.0% |            3,949.89 |          253,171.57 |    0.4% |       57,652.36 |       11,803.19 |  4.884 |       8,386.53 |    0.0% |      0.01 | `2d_bump deg=6 dim=2 N=32`
|     0.0% |              237.60 |        4,208,774.10 |    4.7% |        2,288.10 |          709.24 |  3.226 |         312.72 |    0.9% |      0.01 | `2d_bump deg=6 dim=2 N=1024`
|     0.0% |               95.72 |       10,446,718.17 |    0.7% |          251.34 |          285.33 |  0.881 |          18.71 |    4.7% |      1.04 | `2d_bump deg=6 dim=2 N=1000000`
|    26.9% |               55.86 |       17,901,151.87 |    0.1% |          257.00 |          166.83 |  1.540 |          25.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.1% |              338.80 |        2,951,577.42 |    0.5% |        4,542.97 |        1,011.13 |  4.493 |         639.41 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               64.89 |       15,410,577.52 |    2.5% |          626.86 |          193.57 |  3.238 |          64.60 |    0.5% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               52.17 |       19,166,988.86 |    0.3% |          200.77 |          155.66 |  1.290 |          13.23 |    4.5% |      0.57 | `2d_bump deg=8 dim=2 N=1000000`
|    26.8% |               56.20 |       17,792,565.30 |    0.1% |          298.00 |          167.93 |  1.775 |          28.00 |    0.0% |      0.01 | `2d_bump deg=10 dim=2 N=1`
|     0.3% |              155.65 |        6,424,786.88 |    0.4% |        1,526.16 |          464.12 |  3.288 |         185.53 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=32`
|     0.0% |               54.30 |       18,414,546.89 |    0.6% |          515.51 |          161.46 |  3.193 |          43.42 |    0.3% |      0.01 | `2d_bump deg=10 dim=2 N=1024`
|     0.0% |               42.57 |       23,489,654.56 |    0.9% |          204.49 |          126.99 |  1.610 |          12.20 |    3.3% |      0.47 | `2d_bump deg=10 dim=2 N=1000000`
|    28.4% |               53.08 |       18,838,138.22 |    0.1% |          258.00 |          158.46 |  1.628 |          28.00 |    0.0% |      0.01 | `2d_osc deg=8 dim=2 N=1`
|     0.5% |               90.01 |       11,109,815.05 |    0.3% |        1,053.03 |          268.44 |  3.923 |         130.34 |    0.4% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               47.29 |       21,147,102.99 |    0.8% |          452.76 |          141.18 |  3.207 |          38.84 |    0.3% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               30.95 |       32,310,582.76 |    0.4% |          182.47 |           92.21 |  1.979 |          11.79 |    0.1% |      0.34 | `2d_osc deg=8 dim=2 N=1000000`
|    34.9% |               43.20 |       23,150,259.40 |    0.1% |          230.00 |          128.87 |  1.785 |          26.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.1% |               44.75 |       22,347,660.38 |    0.5% |          475.66 |          133.61 |  3.560 |          45.19 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               17.49 |       57,185,189.58 |    0.3% |          177.68 |           52.24 |  3.401 |          12.51 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               20.58 |       48,581,226.57 |    0.3% |          149.03 |           61.39 |  2.428 |           9.75 |    0.0% |      0.23 | `2d_mq deg=8 dim=2 N=1000000`
|    17.1% |               87.97 |       11,368,104.08 |    0.4% |          540.00 |          262.60 |  2.056 |          35.00 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.0% |            1,425.00 |          701,755.67 |    1.9% |       18,360.23 |        4,243.88 |  4.326 |       2,571.69 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              254.61 |        3,927,600.21 |    3.0% |        2,019.42 |          758.81 |  2.661 |         188.31 |    1.8% |      0.01 | `3d_gauss deg=6 dim=3 N=1024`
|     0.0% |               59.28 |       16,868,699.42 |    1.7% |          361.13 |          176.48 |  2.046 |          18.03 |    0.3% |      0.66 | `3d_gauss deg=6 dim=3 N=1000000`
|    11.1% |              135.80 |        7,363,699.75 |    0.2% |          857.00 |          403.81 |  2.122 |          33.00 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.2% |              272.07 |        3,675,548.66 |    1.8% |        2,579.81 |          811.01 |  3.181 |         213.03 |    0.3% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              192.61 |        5,191,913.19 |    0.7% |        1,702.51 |          571.93 |  2.977 |         116.61 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |               45.31 |       22,068,391.31 |    1.3% |          417.41 |          134.88 |  3.095 |          11.99 |    0.0% |      0.51 | `3d_gauss deg=8 dim=3 N=1000000`
|     7.3% |              207.49 |        4,819,548.62 |    0.4% |        1,400.00 |          615.49 |  2.275 |          32.00 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              417.23 |        2,396,771.85 |    2.6% |        3,745.06 |        1,245.84 |  3.006 |         246.28 |    0.6% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |               95.35 |       10,487,407.48 |    0.4% |          929.22 |          283.47 |  3.278 |          32.32 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |               62.26 |       16,062,599.16 |    1.0% |          641.73 |          185.21 |  3.465 |          10.89 |    0.0% |      0.69 | `3d_gauss deg=10 dim=3 N=1000000`
