# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               15.15 |       65,989,504.46 |    0.3% |          149.00 |           45.30 |  3.289 |          19.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     2.0% |               23.68 |       42,232,582.44 |    0.8% |          256.47 |           70.68 |  3.629 |          36.70 |    0.2% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.1% |               16.76 |       59,649,032.74 |    0.7% |          118.03 |           50.08 |  2.357 |          12.89 |    0.8% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               29.45 |       33,952,890.97 |    0.6% |          108.15 |           87.69 |  1.233 |          11.52 |    3.7% |      0.32 | `1d_runge deg=6 dim=1 N=1000000`
|   129.6% |               11.69 |       85,542,442.60 |    0.7% |          130.00 |           34.88 |  3.727 |          17.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     2.9% |               16.40 |       60,960,930.49 |    0.8% |          188.38 |           48.68 |  3.870 |          25.60 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               11.74 |       85,203,439.85 |    0.6% |           98.14 |           35.02 |  2.802 |          10.38 |    0.2% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               30.40 |       32,893,336.71 |    0.4% |           93.67 |           90.39 |  1.036 |           9.85 |    7.1% |      0.34 | `1d_runge deg=8 dim=1 N=1000000`
|   122.4% |               12.38 |       80,749,173.45 |    1.2% |          136.00 |           36.89 |  3.686 |          17.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
|     3.5% |               13.35 |       74,896,128.61 |    2.0% |          153.66 |           39.61 |  3.879 |          19.60 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=32`
|     0.2% |                9.38 |      106,630,788.87 |    0.4% |           91.03 |           27.99 |  3.252 |           9.50 |    0.1% |      0.01 | `1d_runge deg=10 dim=1 N=1024`
|     0.0% |               25.06 |       39,901,814.40 |    0.5% |           88.05 |           74.79 |  1.177 |           9.16 |    5.8% |      0.28 | `1d_runge deg=10 dim=1 N=1000000`
|   129.2% |               11.73 |       85,278,352.70 |    1.9% |          130.00 |           34.85 |  3.730 |          17.25 |    0.0% |      0.01 | `1d_erf deg=8 dim=1 N=1`
|     3.2% |               14.73 |       67,895,146.05 |    1.3% |          163.38 |           43.91 |  3.720 |          21.48 |    0.2% |      0.01 | `1d_erf deg=8 dim=1 N=32`
|     0.1% |               11.09 |       90,191,469.35 |    2.6% |           92.78 |           33.12 |  2.802 |           9.78 |    0.6% |      0.01 | `1d_erf deg=8 dim=1 N=1024`
|     0.0% |               20.00 |       50,007,728.69 |    1.9% |           89.72 |           59.53 |  1.507 |           9.41 |    3.1% |      0.22 | `1d_erf deg=8 dim=1 N=1000000`
|    99.1% |               15.30 |       65,378,454.31 |    0.6% |          150.00 |           45.61 |  3.289 |          19.25 |    0.0% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1`
|     1.9% |               25.41 |       39,362,294.56 |    5.1% |          239.13 |           74.99 |  3.189 |          33.60 |    0.2% |      0.01 | :wavy_dash: `1d_bessel_j0 deg=8 dim=1 N=32` (Unstable with ~1,330.1 iters. Increase `minEpochIterations` to e.g. 13301)
|     0.1% |               15.40 |       64,947,695.12 |    1.5% |          113.36 |           45.79 |  2.476 |          12.12 |    0.5% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1024`
|     0.0% |               19.16 |       52,186,213.56 |    0.2% |          105.62 |           57.10 |  1.850 |          11.18 |    0.8% |      0.21 | `1d_bessel_j0 deg=8 dim=1 N=1000000`
|   163.7% |                9.26 |      107,992,406.53 |    1.3% |          116.00 |           27.66 |  4.193 |          15.25 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1`
|     4.0% |               11.96 |       83,609,660.34 |    2.0% |          137.72 |           35.44 |  3.886 |          17.63 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=32`
|     0.2% |                9.57 |      104,522,425.28 |    1.5% |           84.85 |           28.38 |  2.989 |           8.84 |    0.1% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1024`
|     0.0% |               27.79 |       35,986,141.74 |    0.3% |           81.04 |           82.89 |  0.978 |           8.38 |   11.6% |      0.31 | `1d_tanh_sharp deg=10 dim=1 N=1000000`
|   112.2% |               13.51 |       74,026,470.11 |    0.2% |          140.00 |           40.34 |  3.471 |          18.25 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=1`
|     3.6% |               13.21 |       75,675,379.94 |    0.7% |          144.38 |           39.43 |  3.662 |          18.51 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=32`
|     0.2% |                9.31 |      107,383,918.48 |    1.2% |           87.71 |           27.38 |  3.203 |           9.24 |    0.1% |      0.01 | `1d_log1p deg=8 dim=1 N=1024`
|     0.0% |               32.55 |       30,722,377.73 |    0.7% |           84.86 |           96.14 |  0.883 |           8.87 |   10.4% |      0.36 | `1d_log1p deg=8 dim=1 N=1000000`
