# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               16.78 |       59,607,344.85 |    2.0% |          159.00 |           49.54 |  3.210 |          20.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     1.7% |               31.30 |       31,949,852.62 |    1.8% |          263.53 |           93.63 |  2.815 |          36.70 |    0.2% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.1% |               17.02 |       58,742,801.67 |    3.8% |          125.41 |           50.39 |  2.489 |          12.93 |    0.9% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               58.39 |       17,125,917.85 |    3.5% |          115.51 |           84.45 |  1.368 |          11.52 |    3.8% |      0.63 | `1d_runge deg=6 dim=1 N=1000000`
|   132.2% |               12.69 |       78,786,253.04 |    4.7% |          138.00 |           36.99 |  3.731 |          18.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     3.2% |               16.15 |       61,901,488.39 |    1.8% |          193.88 |           47.75 |  4.060 |          25.60 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               11.45 |       87,367,043.97 |    1.4% |          103.86 |           33.96 |  3.058 |          10.38 |    0.2% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               60.14 |       16,626,604.86 |    0.5% |           99.36 |           89.96 |  1.105 |           9.85 |    7.1% |      0.67 | `1d_runge deg=8 dim=1 N=1000000`
|   127.7% |               13.14 |       76,132,453.92 |    2.8% |          138.00 |           38.30 |  3.603 |          18.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
|     4.1% |               12.65 |       79,029,822.54 |    2.8% |          157.41 |           36.98 |  4.257 |          19.60 |    0.0% |      0.02 | `1d_runge deg=10 dim=1 N=32`
|     0.2% |               10.12 |       98,768,542.72 |    0.9% |           95.05 |           30.17 |  3.151 |           9.50 |    0.1% |      0.01 | `1d_runge deg=10 dim=1 N=1024`
|     0.0% |               49.28 |       20,294,119.01 |    1.2% |           92.05 |           74.28 |  1.239 |           9.16 |    5.7% |      0.55 | `1d_runge deg=10 dim=1 N=1000000`
|   134.5% |               12.47 |       80,186,257.89 |    0.1% |          138.00 |           37.33 |  3.697 |          18.25 |    0.0% |      0.01 | `1d_erf deg=8 dim=1 N=1`
|     2.8% |               18.99 |       52,666,062.90 |    2.2% |          171.38 |           56.11 |  3.054 |          21.48 |    0.2% |      0.01 | `1d_erf deg=8 dim=1 N=32`
|     0.1% |               11.90 |       84,019,363.84 |    5.6% |          101.04 |           34.41 |  2.936 |           9.78 |    0.9% |      0.01 | :wavy_dash: `1d_erf deg=8 dim=1 N=1024` (Unstable with ~26.5 iters. Increase `minEpochIterations` to e.g. 265)
|     0.0% |               41.27 |       24,232,582.00 |    0.8% |           97.97 |           60.72 |  1.614 |           9.41 |    3.1% |      0.45 | `1d_erf deg=8 dim=1 N=1000000`
|   101.2% |               16.58 |       60,319,970.72 |    2.3% |          160.00 |           48.59 |  3.293 |          20.25 |    0.0% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1`
