# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               25.55 |       39,143,633.03 |    0.3% |          156.00 |           76.21 |  2.047 |          20.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     2.2% |               36.13 |       27,680,613.14 |    1.3% |          264.47 |          107.75 |  2.454 |          36.66 |    0.2% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.1% |               30.99 |       32,273,345.46 |    1.6% |          126.41 |           92.48 |  1.367 |          12.93 |    1.8% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               48.81 |       20,487,956.75 |    4.1% |          116.51 |          144.53 |  0.806 |          11.52 |    3.8% |      0.54 | `1d_runge deg=6 dim=1 N=1000000`
|   123.1% |               20.75 |       48,185,605.79 |    0.6% |          137.00 |           61.78 |  2.217 |          18.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     3.3% |               24.20 |       41,324,280.62 |    1.8% |          194.47 |           72.21 |  2.693 |          25.60 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               17.87 |       55,945,402.86 |    1.7% |          104.84 |           53.19 |  1.971 |          10.38 |    0.1% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               44.84 |       22,301,969.11 |    3.7% |          100.36 |          132.09 |  0.760 |           9.85 |    7.1% |      0.49 | `1d_runge deg=8 dim=1 N=1000000`
|   134.6% |               18.98 |       52,683,426.73 |    2.0% |          137.00 |           56.55 |  2.423 |          18.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
|     4.7% |               16.85 |       59,353,996.07 |    0.7% |          158.28 |           50.27 |  3.148 |          19.60 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=32`
|     0.2% |               12.55 |       79,655,164.70 |    1.3% |           96.05 |           37.47 |  2.564 |           9.50 |    0.1% |      0.01 | `1d_runge deg=10 dim=1 N=1024`
|     0.0% |               33.21 |       30,115,144.65 |    2.1% |           93.05 |           98.92 |  0.941 |           9.16 |    5.7% |      0.37 | `1d_runge deg=10 dim=1 N=1000000`
