# A = /tmp/baseline_now.txt    B = bench/phase6_nb.txt
cell                                       A MEvals/s  A err%   B MEvals/s  B err%     B/A
1d_bessel_j0 deg=8 dim=1 N=1                    27.92    0.2%        34.84    0.1%    1.25
1d_bessel_j0 deg=8 dim=1 N=1000000              22.06    3.1%        29.82    0.6%    1.35
1d_bessel_j0 deg=8 dim=1 N=1024                 37.45    0.7%        38.40    0.9%    1.03
1d_bessel_j0 deg=8 dim=1 N=32                   22.50   11.1%        24.54    1.7%    1.09 !
1d_erf deg=8 dim=1 N=1                          46.18    0.6%        47.64    0.0%    1.03
1d_erf deg=8 dim=1 N=1000000                    27.60    0.7%        27.34    1.5%    0.99
1d_erf deg=8 dim=1 N=1024                       49.41    3.1%        51.99    0.5%    1.05
1d_erf deg=8 dim=1 N=32                         41.72    0.2%        25.92    0.2%    0.62
1d_log1p deg=8 dim=1 N=1                        40.36    0.2%        37.08    9.4%    0.92 !
1d_log1p deg=8 dim=1 N=1000000                  17.45    1.0%        17.32    9.5%    0.99 !
1d_log1p deg=8 dim=1 N=1024                     55.33    0.6%        59.51    0.9%    1.08
1d_log1p deg=8 dim=1 N=32                       49.03    0.4%        41.61    0.2%    0.85
1d_runge deg=10 dim=1 N=1                       44.54    0.2%        44.99    0.1%    1.01
1d_runge deg=10 dim=1 N=1000000                 21.58    2.6%        15.29    1.1%    0.71
1d_runge deg=10 dim=1 N=1024                    63.22    0.3%        61.89    0.6%    0.98
1d_runge deg=10 dim=1 N=32                      47.30    0.3%        34.79    3.4%    0.74
1d_runge deg=6 dim=1 N=1                        36.10    0.3%        33.33    0.4%    0.92
1d_runge deg=6 dim=1 N=1000000                  18.80    2.2%        18.71    4.3%    1.00
1d_runge deg=6 dim=1 N=1024                     31.17    1.2%        31.40    1.8%    1.01
1d_runge deg=6 dim=1 N=32                       24.57    6.1%        19.76   12.2%    0.80 !
1d_runge deg=8 dim=1 N=1                        46.45    0.3%        47.61    0.1%    1.03
1d_runge deg=8 dim=1 N=1000000                  18.38    0.8%        18.30    2.0%    1.00
1d_runge deg=8 dim=1 N=1024                     50.90    1.0%        51.49    0.7%    1.01
1d_runge deg=8 dim=1 N=32                       36.69    1.1%        33.26    0.3%    0.91
1d_tanh_sharp deg=10 dim=1 N=1                  60.52    0.5%        58.41    0.4%    0.97
1d_tanh_sharp deg=10 dim=1 N=1000000            19.88    0.6%        20.19    1.1%    1.02
1d_tanh_sharp deg=10 dim=1 N=1024               57.37    0.7%        62.71    1.1%    1.09
1d_tanh_sharp deg=10 dim=1 N=32                 52.43    0.7%        36.96    1.6%    0.71
2d_bump deg=10 dim=2 N=1                        10.09    0.4%        10.25    0.3%    1.02
2d_bump deg=10 dim=2 N=1000000                   8.23    1.5%        12.76    5.6%    1.55 !
2d_bump deg=10 dim=2 N=1024                     10.56    0.8%         9.92    1.0%    0.94
2d_bump deg=10 dim=2 N=32                        3.62    0.5%         3.00    0.9%    0.83
2d_bump deg=6 dim=2 N=1                         16.15    0.5%        15.83    0.8%    0.98
2d_bump deg=6 dim=2 N=1000000                    4.29    1.2%         4.14    0.8%    0.96
2d_bump deg=6 dim=2 N=1024                       2.15    2.4%         1.62    3.0%    0.75
2d_bump deg=6 dim=2 N=32                         0.16    0.2%         0.09    0.7%    0.57
2d_bump deg=8 dim=2 N=1                         10.24    0.1%        10.23    0.1%    1.00
2d_bump deg=8 dim=2 N=1000000                   10.48    1.9%         7.27    1.0%    0.69
2d_bump deg=8 dim=2 N=1024                       8.50    1.1%         6.95    3.1%    0.82
2d_bump deg=8 dim=2 N=32                         1.71    0.3%         0.97    0.7%    0.57
2d_mq deg=8 dim=2 N=1                           13.39    1.5%        13.58    0.2%    1.01
2d_mq deg=8 dim=2 N=1000000                     28.83    1.5%        28.99    1.2%    1.01
2d_mq deg=8 dim=2 N=1024                        32.84    0.1%        33.76    0.2%    1.03
2d_mq deg=8 dim=2 N=32                          12.98    0.9%        11.86    0.8%    0.91
2d_osc deg=8 dim=2 N=1                          11.09    0.2%        11.15    0.1%    1.01
2d_osc deg=8 dim=2 N=1000000                    12.51    0.9%        19.37    1.9%    1.55
2d_osc deg=8 dim=2 N=1024                       13.10    0.3%        12.79    0.7%    0.98
2d_osc deg=8 dim=2 N=32                          6.54    0.3%         4.62    1.7%    0.71
3d_gauss deg=10 dim=3 N=1                        2.65    0.3%         2.67    0.4%    1.01
3d_gauss deg=10 dim=3 N=1000000                  9.41    3.5%         9.25    3.7%    0.98
3d_gauss deg=10 dim=3 N=1024                     6.81    0.4%         6.68    0.4%    0.98
3d_gauss deg=10 dim=3 N=32                       1.52    0.8%         1.48    0.5%    0.97
3d_gauss deg=6 dim=3 N=1                        15.33    1.6%        14.78    1.1%    0.96
3d_gauss deg=6 dim=3 N=1000000                   4.82   10.2%         4.07    1.5%    0.84 !
3d_gauss deg=6 dim=3 N=1024                      2.42    8.4%         2.33   22.5%    0.96 !
3d_gauss deg=6 dim=3 N=32                        0.91    0.8%         0.61    1.7%    0.67
3d_gauss deg=8 dim=3 N=1                         4.10    0.1%         4.08    0.5%    1.00
3d_gauss deg=8 dim=3 N=1000000                   4.41    2.0%         4.09    1.1%    0.93
3d_gauss deg=8 dim=3 N=1024                      3.38    2.5%         3.12    2.9%    0.92
3d_gauss deg=8 dim=3 N=32                        2.34    1.3%         2.07    0.6%    0.88
3d_imq deg=8 dim=3 N=1                           4.72    0.4%         5.16    0.1%    1.09
3d_imq deg=8 dim=3 N=1000000                     4.18    1.3%         4.00    1.1%    0.95
3d_imq deg=8 dim=3 N=1024                        2.44    1.3%         3.01    3.3%    1.23
3d_imq deg=8 dim=3 N=32                          2.39    1.3%         2.26    2.3%    0.95
