# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               30.00 |       33,330,857.26 |    0.4% |          144.00 |           89.53 |  1.608 |          19.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     1.9% |               50.61 |       19,758,830.94 |   12.2% |          294.44 |          151.10 |  1.949 |          39.57 |    0.2% |      0.01 | :wavy_dash: `1d_runge deg=6 dim=1 N=32` (Unstable with ~661.4 iters. Increase `minEpochIterations` to e.g. 6614)
|     0.1% |               31.85 |       31,396,304.95 |    1.8% |          121.39 |           94.70 |  1.282 |          13.46 |    1.3% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               53.44 |       18,713,246.48 |    4.3% |          108.40 |          158.52 |  0.684 |          11.52 |    3.9% |      0.66 | `1d_runge deg=6 dim=1 N=1000000`
|   142.9% |               21.00 |       47,613,767.63 |    0.1% |          127.00 |           62.64 |  2.027 |          17.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     3.1% |               30.07 |       33,260,495.74 |    0.3% |          210.16 |           89.57 |  2.346 |          27.76 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.2% |               19.42 |       51,492,831.60 |    0.7% |          101.47 |           57.94 |  1.751 |          10.57 |    0.3% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               54.64 |       18,303,025.81 |    2.0% |           95.92 |          162.64 |  0.590 |           9.85 |    7.2% |      0.69 | `1d_runge deg=8 dim=1 N=1000000`
|   135.0% |               22.23 |       44,993,778.11 |    0.1% |          128.00 |           66.30 |  1.931 |          17.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
