# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               26.46 |       37,790,972.60 |   14.0% |          144.00 |           78.86 |  1.826 |          19.25 |    0.0% |      0.01 | :wavy_dash: `1d_runge deg=6 dim=1 N=1` (Unstable with ~36,021.8 iters. Increase `minEpochIterations` to e.g. 360218)
|     2.9% |               28.85 |       34,660,438.71 |    3.1% |          259.84 |           86.22 |  3.014 |          37.29 |    0.2% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.1% |               18.30 |       54,651,526.58 |    1.3% |          119.12 |           54.65 |  2.180 |          12.93 |    1.0% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               29.34 |       34,083,940.09 |    0.4% |          109.15 |           87.37 |  1.249 |          11.52 |    3.9% |      0.32 | `1d_runge deg=6 dim=1 N=1000000`
|   213.8% |               12.37 |       80,811,215.21 |    1.5% |          127.00 |           36.92 |  3.440 |          17.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     5.0% |               16.54 |       60,457,969.12 |    0.9% |          190.22 |           49.33 |  3.856 |          25.82 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.2% |               11.99 |       83,407,550.75 |    3.0% |           99.17 |           35.81 |  2.769 |          10.39 |    0.3% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               31.84 |       31,410,759.28 |    0.9% |           94.67 |           94.72 |  1.000 |           9.85 |    7.1% |      0.35 | `1d_runge deg=8 dim=1 N=1000000`
|   198.5% |               13.33 |       75,016,689.14 |    1.2% |          128.00 |           39.79 |  3.217 |          17.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
|     6.4% |               13.02 |       76,803,688.68 |    1.3% |          155.34 |           38.87 |  3.997 |          19.82 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=32`
