# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               14.31 |       69,902,382.28 |    1.1% |          146.00 |           42.75 |  3.415 |          19.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     2.0% |               22.18 |       45,086,801.86 |    3.8% |          259.59 |           66.24 |  3.919 |          37.23 |    0.2% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.1% |               16.31 |       61,313,374.55 |    1.9% |          119.14 |           48.44 |  2.460 |          12.93 |    0.9% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               28.40 |       35,206,043.72 |    0.4% |          109.15 |           84.68 |  1.289 |          11.52 |    3.8% |      0.31 | `1d_runge deg=6 dim=1 N=1000000`
|   115.5% |               12.39 |       80,736,750.27 |    0.3% |          125.00 |           36.99 |  3.379 |          17.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     2.9% |               15.60 |       64,107,068.55 |    0.7% |          190.22 |           46.61 |  4.081 |          25.73 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               11.20 |       89,303,585.04 |    0.3% |           99.17 |           33.41 |  2.968 |          10.39 |    0.1% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               31.78 |       31,466,754.81 |    0.3% |           94.67 |           94.79 |  0.999 |           9.85 |    7.1% |      0.35 | `1d_runge deg=8 dim=1 N=1000000`
|   105.2% |               13.59 |       73,566,799.12 |    0.6% |          130.00 |           40.56 |  3.205 |          17.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
|     1.7% |               25.97 |       38,500,117.01 |    0.2% |          156.50 |           77.56 |  2.018 |          19.76 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=32`
|     0.1% |               10.23 |       97,762,617.05 |    0.6% |           93.06 |           30.53 |  3.048 |           9.51 |    0.1% |      0.01 | `1d_runge deg=10 dim=1 N=1024`
|     0.0% |               26.98 |       37,059,593.98 |    0.3% |           90.05 |           80.43 |  1.120 |           9.16 |    5.8% |      0.30 | `1d_runge deg=10 dim=1 N=1000000`
|   112.1% |               12.76 |       78,348,674.61 |    0.1% |          125.00 |           38.11 |  3.280 |          17.25 |    0.0% |      0.01 | `1d_erf deg=8 dim=1 N=1`
|     1.7% |               26.61 |       37,583,560.97 |    1.2% |          165.78 |           79.42 |  2.087 |          21.63 |    0.2% |      0.01 | `1d_erf deg=8 dim=1 N=32`
|     0.1% |               12.53 |       79,835,311.64 |    1.1% |           94.79 |           37.37 |  2.536 |           9.78 |    1.3% |      0.01 | `1d_erf deg=8 dim=1 N=1024`
|     0.0% |               21.46 |       46,592,990.10 |    0.8% |           91.72 |           63.87 |  1.436 |           9.41 |    3.3% |      0.24 | `1d_erf deg=8 dim=1 N=1000000`
|    48.6% |               29.44 |       33,970,699.85 |    6.8% |          143.00 |           87.87 |  1.627 |          19.25 |    0.0% |      0.01 | :wavy_dash: `1d_bessel_j0 deg=8 dim=1 N=1` (Unstable with ~50,884.5 iters. Increase `minEpochIterations` to e.g. 508845)
|     1.9% |               23.53 |       42,490,026.43 |    3.3% |          241.75 |           69.05 |  3.501 |          33.70 |    0.2% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=32`
|     0.1% |               18.19 |       54,968,271.31 |    4.7% |          115.44 |           54.24 |  2.129 |          12.12 |    0.7% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1024`
|     0.0% |               21.96 |       45,532,190.26 |    2.0% |          107.62 |           65.40 |  1.646 |          11.18 |    1.1% |      0.24 | `1d_bessel_j0 deg=8 dim=1 N=1000000`
|   129.1% |               11.09 |       90,211,326.53 |    0.2% |          112.00 |           33.08 |  3.386 |          15.25 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1`
|     3.7% |               12.21 |       81,900,357.22 |    1.8% |          140.16 |           36.47 |  3.843 |          17.73 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=32`
|     0.1% |                9.88 |      101,198,574.31 |    1.3% |           86.86 |           29.51 |  2.943 |           8.84 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1024`
|     0.0% |               30.62 |       32,660,336.61 |    2.1% |           83.04 |           90.72 |  0.915 |           8.38 |   11.6% |      0.34 | `1d_tanh_sharp deg=10 dim=1 N=1000000`
|    95.8% |               14.94 |       66,954,241.07 |    0.2% |          134.00 |           44.58 |  3.006 |          18.25 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=1`
|     3.5% |               12.65 |       79,070,140.11 |    1.9% |          146.28 |           37.50 |  3.901 |          18.54 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=32`
|     0.1% |                9.37 |      106,689,309.06 |    0.4% |           89.70 |           27.98 |  3.206 |           9.24 |    0.0% |      0.01 | `1d_log1p deg=8 dim=1 N=1024`
|     0.0% |               35.70 |       28,012,798.15 |    0.1% |           86.86 |          106.45 |  0.816 |           8.87 |   10.4% |      0.39 | `1d_log1p deg=8 dim=1 N=1000000`
|    27.6% |               51.81 |       19,301,239.99 |    0.1% |          273.00 |          154.62 |  1.766 |          31.00 |    0.0% |      0.01 | `2d_bump deg=6 dim=2 N=1`
|     0.0% |            4,633.44 |          215,822.30 |    0.3% |       57,656.93 |       13,828.85 |  4.169 |       8,386.53 |    0.0% |      0.01 | `2d_bump deg=6 dim=2 N=32`
|     0.0% |              268.56 |        3,723,626.21 |    2.9% |        2,291.68 |          800.93 |  2.861 |         312.64 |    0.8% |      0.01 | `2d_bump deg=6 dim=2 N=1024`
|     0.0% |              103.47 |        9,664,928.43 |    3.7% |          251.41 |          308.24 |  0.816 |          18.79 |    4.7% |      1.13 | `2d_bump deg=6 dim=2 N=1000000`
|    24.3% |               58.78 |       17,012,633.46 |    0.1% |          275.00 |          175.47 |  1.567 |          29.00 |    0.0% |      0.01 | `2d_bump deg=8 dim=2 N=1`
|     0.1% |              355.65 |        2,811,736.97 |    0.3% |        4,543.60 |        1,061.76 |  4.279 |         638.81 |    0.2% |      0.01 | `2d_bump deg=8 dim=2 N=32`
|     0.0% |               75.49 |       13,247,642.95 |    1.7% |          627.34 |          224.59 |  2.793 |          64.63 |    1.0% |      0.01 | `2d_bump deg=8 dim=2 N=1024`
|     0.0% |               54.68 |       18,288,056.83 |    0.5% |          199.77 |          163.00 |  1.226 |          13.24 |    4.4% |      0.61 | `2d_bump deg=8 dim=2 N=1000000`
