# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|---------:|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:---------------------
|   100.0% |               27.67 |       36,145,197.47 |    0.4% |          143.00 |           82.38 |  1.736 |          19.25 |    0.0% |      0.01 | `1d_runge deg=6 dim=1 N=1`
|     2.2% |               39.43 |       25,364,582.49 |    1.2% |          259.81 |          117.66 |  2.208 |          37.23 |    0.2% |      0.01 | `1d_runge deg=6 dim=1 N=32`
|     0.0% |              148.74 |        6,723,202.19 |    2.0% |          119.12 |          440.87 |  0.270 |          12.93 |    1.1% |      0.01 | `1d_runge deg=6 dim=1 N=1024`
|     0.0% |               51.34 |       19,476,497.46 |    0.5% |          109.15 |          152.99 |  0.713 |          11.52 |    3.8% |      0.57 | `1d_runge deg=6 dim=1 N=1000000`
|   131.4% |               21.06 |       47,491,178.28 |    0.9% |          125.00 |           62.62 |  1.996 |          17.25 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=1`
|     3.2% |               26.70 |       37,454,931.50 |    0.7% |          189.88 |           79.38 |  2.392 |          25.76 |    0.0% |      0.01 | `1d_runge deg=8 dim=1 N=32`
|     0.1% |               19.39 |       51,585,260.45 |    0.6% |           99.16 |           57.78 |  1.716 |          10.39 |    0.3% |      0.01 | `1d_runge deg=8 dim=1 N=1024`
|     0.0% |               55.20 |       18,115,947.61 |    0.3% |           94.67 |          164.49 |  0.576 |           9.85 |    7.1% |      0.61 | `1d_runge deg=8 dim=1 N=1000000`
|   123.2% |               22.45 |       44,546,157.31 |    0.2% |          127.00 |           66.96 |  1.897 |          17.25 |    0.0% |      0.01 | `1d_runge deg=10 dim=1 N=1`
|     3.9% |               22.06 |       45,333,861.08 |    0.4% |          155.25 |           65.81 |  2.359 |          19.76 |    0.2% |      0.01 | `1d_runge deg=10 dim=1 N=32`
|     0.2% |               16.56 |       60,386,310.64 |    0.7% |           92.05 |           49.42 |  1.863 |           9.51 |    0.2% |      0.01 | `1d_runge deg=10 dim=1 N=1024`
|     0.0% |               46.43 |       21,536,864.63 |    0.5% |           89.05 |          137.98 |  0.645 |           9.16 |    6.0% |      0.52 | `1d_runge deg=10 dim=1 N=1000000`
|   129.1% |               21.44 |       46,648,066.03 |    1.1% |          125.00 |           63.19 |  1.978 |          17.25 |    0.0% |      0.01 | `1d_erf deg=8 dim=1 N=1`
|     3.5% |               24.47 |       40,863,092.90 |    0.4% |          164.91 |           72.77 |  2.266 |          21.63 |    0.3% |      0.01 | `1d_erf deg=8 dim=1 N=32`
|     0.1% |               22.88 |       43,700,477.77 |    0.8% |           93.80 |           68.24 |  1.375 |           9.78 |    1.8% |      0.01 | `1d_erf deg=8 dim=1 N=1024`
|     0.0% |               36.25 |       27,588,111.81 |    0.1% |           90.72 |          107.80 |  0.842 |           9.41 |    3.3% |      0.40 | `1d_erf deg=8 dim=1 N=1000000`
|    96.4% |               28.70 |       34,844,579.31 |    0.1% |          143.00 |           85.63 |  1.670 |          19.25 |    0.0% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1`
|     2.3% |               36.91 |       27,091,570.94 |    3.5% |          240.31 |          110.25 |  2.180 |          33.73 |    0.2% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=32`
|     0.1% |               26.43 |       37,831,766.86 |    0.3% |          114.41 |           78.93 |  1.449 |          12.12 |    1.0% |      0.01 | `1d_bessel_j0 deg=8 dim=1 N=1024`
|     0.0% |               34.19 |       29,244,718.02 |    0.5% |          106.62 |          101.83 |  1.047 |          11.18 |    1.2% |      0.39 | `1d_bessel_j0 deg=8 dim=1 N=1000000`
|   161.1% |               17.18 |       58,212,774.24 |    0.1% |          109.00 |           51.32 |  2.124 |          15.25 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1`
|     4.5% |               19.00 |       52,618,853.22 |    1.2% |          139.22 |           56.38 |  2.469 |          17.76 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=32`
|     0.2% |               15.19 |       65,845,859.33 |    0.3% |           85.88 |           45.29 |  1.896 |           8.84 |    0.0% |      0.01 | `1d_tanh_sharp deg=10 dim=1 N=1024`
