# A = bench/baseline_v3_nb.txt    B = bench/phase23_prefetch_v3_nb.txt
cell                                       A MEvals/s  A err%   B MEvals/s  B err%     B/A
1d_bessel_j0 deg=8 dim=1 N=1                    61.55    0.0%        65.38    0.6%    1.06
1d_bessel_j0 deg=8 dim=1 N=1000000              51.87    0.2%        52.19    0.2%    1.01
1d_bessel_j0 deg=8 dim=1 N=1024                 62.53    0.6%        64.95    1.5%    1.04
1d_bessel_j0 deg=8 dim=1 N=32                   49.31    0.8%        39.36    5.1%    0.80 !
1d_erf deg=8 dim=1 N=1                          77.83    0.1%        85.28    1.9%    1.10
1d_erf deg=8 dim=1 N=1000000                    49.53    0.2%        50.01    1.9%    1.01
1d_erf deg=8 dim=1 N=1024                       78.12    1.1%        90.19    2.6%    1.15
1d_erf deg=8 dim=1 N=32                         65.09    0.4%        67.90    1.3%    1.04
1d_log1p deg=8 dim=1 N=1                        67.29    0.4%        74.03    0.2%    1.10
1d_log1p deg=8 dim=1 N=1000000                  30.52    0.2%        30.72    0.7%    1.01
1d_log1p deg=8 dim=1 N=1024                    100.52    0.8%       107.38    1.2%    1.07
1d_log1p deg=8 dim=1 N=32                       74.77    0.6%        75.68    0.7%    1.01
1d_runge deg=10 dim=1 N=1                       74.51    1.2%        80.75    1.2%    1.08
1d_runge deg=10 dim=1 N=1000000                 39.95    0.2%        39.90    0.5%    1.00
1d_runge deg=10 dim=1 N=1024                    96.16    1.3%       106.63    0.4%    1.11
1d_runge deg=10 dim=1 N=32                      74.90    1.9%        74.90    2.0%    1.00
1d_runge deg=6 dim=1 N=1                        57.57    0.5%        65.99    0.3%    1.15
1d_runge deg=6 dim=1 N=1000000                  34.80    0.9%        33.95    0.6%    0.98
1d_runge deg=6 dim=1 N=1024                     56.52    0.6%        59.65    0.7%    1.06
1d_runge deg=6 dim=1 N=32                       28.84    0.6%        42.23    0.8%    1.46
1d_runge deg=8 dim=1 N=1                        80.27    1.2%        85.54    0.7%    1.07
1d_runge deg=8 dim=1 N=1000000                  32.77    0.5%        32.89    0.4%    1.00
1d_runge deg=8 dim=1 N=1024                     86.18    1.6%        85.20    0.6%    0.99
1d_runge deg=8 dim=1 N=32                       56.74    0.8%        60.96    0.8%    1.07
1d_tanh_sharp deg=10 dim=1 N=1                 100.78    1.8%       107.99    1.3%    1.07
1d_tanh_sharp deg=10 dim=1 N=1000000            34.64    0.4%        35.99    0.3%    1.04
1d_tanh_sharp deg=10 dim=1 N=1024               99.73    2.3%       104.52    1.5%    1.05
1d_tanh_sharp deg=10 dim=1 N=32                 83.05    1.0%        83.61    2.0%    1.01
2d_bump deg=10 dim=2 N=1                        18.44    0.1%        18.66    0.2%    1.01
2d_bump deg=10 dim=2 N=1000000                  24.99    0.4%        24.33    1.3%    0.97
2d_bump deg=10 dim=2 N=1024                     18.19    0.6%        19.13    1.0%    1.05
2d_bump deg=10 dim=2 N=32                        6.38    0.5%         6.60    0.3%    1.03
2d_bump deg=6 dim=2 N=1                         21.83    2.8%        23.81    1.2%    1.09
2d_bump deg=6 dim=2 N=1000000                   10.49    1.0%        11.07    1.7%    1.06
2d_bump deg=6 dim=2 N=1024                       4.09    4.2%         4.32    4.2%    1.06
2d_bump deg=6 dim=2 N=32                         0.25    1.6%         0.25    0.5%    1.02
2d_bump deg=8 dim=2 N=1                         18.44    0.2%        18.95    0.5%    1.03
2d_bump deg=8 dim=2 N=1000000                   19.60    0.6%        19.39    2.8%    0.99
2d_bump deg=8 dim=2 N=1024                      14.66    2.8%        14.49    1.7%    0.99
2d_bump deg=8 dim=2 N=32                         3.00    0.2%         3.03    0.2%    1.01
2d_mq deg=8 dim=2 N=1                           26.76    1.3%        25.00    0.1%    0.93
2d_mq deg=8 dim=2 N=1000000                     51.56    0.5%        50.85    0.9%    0.99
2d_mq deg=8 dim=2 N=1024                        51.09    1.4%        59.84    0.1%    1.17
2d_mq deg=8 dim=2 N=32                          21.54    2.4%        23.46    1.0%    1.09
2d_osc deg=8 dim=2 N=1                          21.26    0.2%        19.90    0.3%    0.94
2d_osc deg=8 dim=2 N=1000000                    37.54    1.4%        33.11    1.7%    0.88
2d_osc deg=8 dim=2 N=1024                       22.09    0.6%        20.60    0.6%    0.93
2d_osc deg=8 dim=2 N=32                         11.73    2.2%        11.37    0.3%    0.97
3d_gauss deg=10 dim=3 N=1                        4.93    0.1%         4.82    0.1%    0.98
3d_gauss deg=10 dim=3 N=1000000                 16.70    0.8%        17.06    0.4%    1.02
3d_gauss deg=10 dim=3 N=1024                    10.90    1.0%        10.74    0.2%    0.99
3d_gauss deg=10 dim=3 N=32                       2.50    3.8%         2.50    2.0%    1.00
3d_gauss deg=6 dim=3 N=1                        11.83    0.1%        12.76    0.3%    1.08
3d_gauss deg=6 dim=3 N=1000000                  17.30    1.1%        17.60    1.1%    1.02
3d_gauss deg=6 dim=3 N=1024                      3.52    7.5%         3.57   10.0%    1.01 !
3d_gauss deg=6 dim=3 N=32                        0.71    1.6%         0.76    2.2%    1.06
3d_gauss deg=8 dim=3 N=1                         7.61    0.3%         7.60    0.1%    1.00
3d_gauss deg=8 dim=3 N=1000000                  22.76    0.5%        23.48    0.7%    1.03
3d_gauss deg=8 dim=3 N=1024                      5.42    0.9%         5.81    0.6%    1.07
3d_gauss deg=8 dim=3 N=32                        3.86    5.1%         4.31    2.0%    1.12 !
3d_imq deg=8 dim=3 N=1                           7.37    0.6%         7.28    0.3%    0.99
