# A = bench/baseline_v3_nb.txt    B = bench/final_v3_nb.txt
cell                                       A MEvals/s  A err%   B MEvals/s  B err%     B/A
1d_bessel_j0 deg=8 dim=1 N=1                    61.55    0.0%        62.76    2.4%    1.02
1d_bessel_j0 deg=8 dim=1 N=1000000              51.87    0.2%        54.61    0.3%    1.05
1d_bessel_j0 deg=8 dim=1 N=1024                 62.53    0.6%        62.83    1.7%    1.00
1d_bessel_j0 deg=8 dim=1 N=32                   49.31    0.8%        42.00    1.3%    0.85
1d_erf deg=8 dim=1 N=1                          77.83    0.1%        79.78    3.2%    1.03
1d_erf deg=8 dim=1 N=1000000                    49.53    0.2%        49.44    0.5%    1.00
1d_erf deg=8 dim=1 N=1024                       78.12    1.1%        81.03    2.1%    1.04
1d_erf deg=8 dim=1 N=32                         65.09    0.4%        63.51    2.9%    0.98
1d_log1p deg=8 dim=1 N=1                        67.29    0.4%        65.87    0.3%    0.98
1d_log1p deg=8 dim=1 N=1000000                  30.52    0.2%        29.57    2.0%    0.97
1d_log1p deg=8 dim=1 N=1024                    100.52    0.8%       102.80    0.8%    1.02
1d_log1p deg=8 dim=1 N=32                       74.77    0.6%        77.45    2.2%    1.04
1d_runge deg=10 dim=1 N=1                       74.51    1.2%        75.54    3.2%    1.01
1d_runge deg=10 dim=1 N=1000000                 39.95    0.2%        37.66    1.2%    0.94
1d_runge deg=10 dim=1 N=1024                    96.16    1.3%        96.60    2.7%    1.00
1d_runge deg=10 dim=1 N=32                      74.90    1.9%        70.90    2.6%    0.95
1d_runge deg=6 dim=1 N=1                        57.57    0.5%        66.43    4.7%    1.15
1d_runge deg=6 dim=1 N=1000000                  34.80    0.9%        34.45    1.0%    0.99
1d_runge deg=6 dim=1 N=1024                     56.52    0.6%        49.01    3.3%    0.87
1d_runge deg=6 dim=1 N=32                       28.84    0.6%        42.57    1.8%    1.48
1d_runge deg=8 dim=1 N=1                        80.27    1.2%        78.36    4.1%    0.98
1d_runge deg=8 dim=1 N=1000000                  32.77    0.5%        31.44    1.0%    0.96
1d_runge deg=8 dim=1 N=1024                     86.18    1.6%        90.33    0.9%    1.05
1d_runge deg=8 dim=1 N=32                       56.74    0.8%        58.62    0.7%    1.03
1d_tanh_sharp deg=10 dim=1 N=1                 100.78    1.8%       105.32    3.2%    1.05
1d_tanh_sharp deg=10 dim=1 N=1000000            34.64    0.4%        34.10    1.1%    0.98
1d_tanh_sharp deg=10 dim=1 N=1024               99.73    2.3%       102.77    2.7%    1.03
1d_tanh_sharp deg=10 dim=1 N=32                 83.05    1.0%        81.76    1.4%    0.98
2d_bump deg=10 dim=2 N=1                        18.44    0.1%        17.79    0.1%    0.96
2d_bump deg=10 dim=2 N=1000000                  24.99    0.4%        23.49    0.9%    0.94
2d_bump deg=10 dim=2 N=1024                     18.19    0.6%        18.41    0.6%    1.01
2d_bump deg=10 dim=2 N=32                        6.38    0.5%         6.42    0.4%    1.01
2d_bump deg=6 dim=2 N=1                         21.83    2.8%        25.37    0.4%    1.16
2d_bump deg=6 dim=2 N=1000000                   10.49    1.0%        10.45    0.7%    1.00
2d_bump deg=6 dim=2 N=1024                       4.09    4.2%         4.21    4.7%    1.03
2d_bump deg=6 dim=2 N=32                         0.25    1.6%         0.25    0.4%    1.02
2d_bump deg=8 dim=2 N=1                         18.44    0.2%        17.90    0.1%    0.97
2d_bump deg=8 dim=2 N=1000000                   19.60    0.6%        19.17    0.3%    0.98
2d_bump deg=8 dim=2 N=1024                      14.66    2.8%        15.41    2.5%    1.05
2d_bump deg=8 dim=2 N=32                         3.00    0.2%         2.95    0.5%    0.98
2d_mq deg=8 dim=2 N=1                           26.76    1.3%        23.15    0.1%    0.87
2d_mq deg=8 dim=2 N=1000000                     51.56    0.5%        48.58    0.3%    0.94
2d_mq deg=8 dim=2 N=1024                        51.09    1.4%        57.19    0.3%    1.12
2d_mq deg=8 dim=2 N=32                          21.54    2.4%        22.35    0.5%    1.04
2d_osc deg=8 dim=2 N=1                          21.26    0.2%        18.84    0.1%    0.89
2d_osc deg=8 dim=2 N=1000000                    37.54    1.4%        32.31    0.4%    0.86
2d_osc deg=8 dim=2 N=1024                       22.09    0.6%        21.15    0.8%    0.96
2d_osc deg=8 dim=2 N=32                         11.73    2.2%        11.11    0.3%    0.95
3d_gauss deg=10 dim=3 N=1                        4.93    0.1%         4.82    0.4%    0.98
3d_gauss deg=10 dim=3 N=1000000                 16.70    0.8%        16.06    1.0%    0.96
3d_gauss deg=10 dim=3 N=1024                    10.90    1.0%        10.49    0.4%    0.96
3d_gauss deg=10 dim=3 N=32                       2.50    3.8%         2.40    2.6%    0.96
3d_gauss deg=6 dim=3 N=1                        11.83    0.1%        11.37    0.4%    0.96
3d_gauss deg=6 dim=3 N=1000000                  17.30    1.1%        16.87    1.7%    0.97
3d_gauss deg=6 dim=3 N=1024                      3.52    7.5%         3.93    3.0%    1.11 !
3d_gauss deg=6 dim=3 N=32                        0.71    1.6%         0.70    1.9%    0.98
3d_gauss deg=8 dim=3 N=1                         7.61    0.3%         7.36    0.2%    0.97
3d_gauss deg=8 dim=3 N=1000000                  22.76    0.5%        22.07    1.3%    0.97
3d_gauss deg=8 dim=3 N=1024                      5.42    0.9%         5.19    0.7%    0.96
3d_gauss deg=8 dim=3 N=32                        3.86    5.1%         3.68    1.8%    0.95 !
3d_imq deg=8 dim=3 N=1                           7.37    0.6%         7.43    0.5%    1.01
3d_imq deg=8 dim=3 N=1000000                    20.07    0.4%        18.82    1.1%    0.94
3d_imq deg=8 dim=3 N=1024                        4.90    1.7%         4.34    3.7%    0.89
3d_imq deg=8 dim=3 N=32                          3.57    1.5%         3.25    2.2%    0.91
3d_yukawa deg=8 dim=3 N=1                        7.39    0.1%         7.62    0.0%    1.03
3d_yukawa deg=8 dim=3 N=1000000                 19.84    0.7%        19.99    1.3%    1.01
3d_yukawa deg=8 dim=3 N=1024                     6.49    3.2%         5.94    2.3%    0.91
3d_yukawa deg=8 dim=3 N=32                       4.17    1.7%         3.98    3.9%    0.96
