# A = bench/baseline_v3_nb.txt    B = bench/phase24_v3_nb.txt
cell                                       A MEvals/s  A err%   B MEvals/s  B err%     B/A
1d_bessel_j0 deg=8 dim=1 N=1                    61.55    0.0%        62.86    0.3%    1.02
1d_bessel_j0 deg=8 dim=1 N=1000000              51.87    0.2%        53.53    0.3%    1.03
1d_bessel_j0 deg=8 dim=1 N=1024                 62.53    0.6%        63.96    0.4%    1.02
1d_bessel_j0 deg=8 dim=1 N=32                   49.31    0.8%        46.38    0.5%    0.94
1d_erf deg=8 dim=1 N=1                          77.83    0.1%        82.94    0.2%    1.07
1d_erf deg=8 dim=1 N=1000000                    49.53    0.2%        50.29    0.9%    1.02
1d_erf deg=8 dim=1 N=1024                       78.12    1.1%        95.76    0.8%    1.23
1d_erf deg=8 dim=1 N=32                         65.09    0.4%        74.66    0.4%    1.15
1d_log1p deg=8 dim=1 N=1                        67.29    0.4%        72.57    0.2%    1.08
1d_log1p deg=8 dim=1 N=1000000                  30.52    0.2%        31.73    0.2%    1.04
1d_log1p deg=8 dim=1 N=1024                    100.52    0.8%       114.15    0.8%    1.14
1d_log1p deg=8 dim=1 N=32                       74.77    0.6%        87.64    0.2%    1.17
1d_runge deg=10 dim=1 N=1                       74.51    1.2%        76.77    8.5%    1.03 !
1d_runge deg=10 dim=1 N=1000000                 39.95    0.2%        40.06    0.7%    1.00
1d_runge deg=10 dim=1 N=1024                    96.16    1.3%       116.61    1.8%    1.21
1d_runge deg=10 dim=1 N=32                      74.90    1.9%        87.98    0.5%    1.17
1d_runge deg=6 dim=1 N=1                        57.57    0.5%        68.87    0.3%    1.20
1d_runge deg=6 dim=1 N=1000000                  34.80    0.9%        34.80    0.6%    1.00
1d_runge deg=6 dim=1 N=1024                     56.52    0.6%        58.51    0.9%    1.04
1d_runge deg=6 dim=1 N=32                       28.84    0.6%        48.53    0.7%    1.68
1d_runge deg=8 dim=1 N=1                        80.27    1.2%        84.24    0.4%    1.05
1d_runge deg=8 dim=1 N=1000000                  32.77    0.5%        34.37    0.3%    1.05
1d_runge deg=8 dim=1 N=1024                     86.18    1.6%        95.18    0.2%    1.10
1d_runge deg=8 dim=1 N=32                       56.74    0.8%        66.24    0.8%    1.17
1d_tanh_sharp deg=10 dim=1 N=1                 100.78    1.8%       112.41    0.1%    1.12
1d_tanh_sharp deg=10 dim=1 N=1000000            34.64    0.4%        36.24    0.7%    1.05
1d_tanh_sharp deg=10 dim=1 N=1024               99.73    2.3%       123.01    1.7%    1.23
1d_tanh_sharp deg=10 dim=1 N=32                 83.05    1.0%        97.28    0.5%    1.17
2d_bump deg=10 dim=2 N=1                        18.44    0.1%        20.33    0.1%    1.10
2d_bump deg=10 dim=2 N=1000000                  24.99    0.4%        26.98    0.2%    1.08
2d_bump deg=10 dim=2 N=1024                     18.19    0.6%        19.77    2.0%    1.09
2d_bump deg=10 dim=2 N=32                        6.38    0.5%         7.30    2.5%    1.14
2d_bump deg=6 dim=2 N=1                         21.83    2.8%        24.96    1.3%    1.14
2d_bump deg=6 dim=2 N=1000000                   10.49    1.0%        10.48    2.2%    1.00
2d_bump deg=6 dim=2 N=1024                       4.09    4.2%         4.20    3.4%    1.03
2d_bump deg=6 dim=2 N=32                         0.25    1.6%         0.25    0.8%    1.02
2d_bump deg=8 dim=2 N=1                         18.44    0.2%        19.48    0.1%    1.06
2d_bump deg=8 dim=2 N=1000000                   19.60    0.6%        20.86    1.5%    1.06
2d_bump deg=8 dim=2 N=1024                      14.66    2.8%        16.44    1.4%    1.12
2d_bump deg=8 dim=2 N=32                         3.00    0.2%         3.21    0.4%    1.07
2d_mq deg=8 dim=2 N=1                           26.76    1.3%        28.02    0.2%    1.05
2d_mq deg=8 dim=2 N=1000000                     51.56    0.5%        58.28    0.2%    1.13
2d_mq deg=8 dim=2 N=1024                        51.09    1.4%        58.99    2.0%    1.15
2d_mq deg=8 dim=2 N=32                          21.54    2.4%        23.01    2.4%    1.07
2d_osc deg=8 dim=2 N=1                          21.26    0.2%        22.45    2.8%    1.06
2d_osc deg=8 dim=2 N=1000000                    37.54    1.4%        39.89    0.4%    1.06
2d_osc deg=8 dim=2 N=1024                       22.09    0.6%        23.12    0.3%    1.05
2d_osc deg=8 dim=2 N=32                         11.73    2.2%        12.13    2.7%    1.03
3d_gauss deg=10 dim=3 N=1                        4.93    0.1%         4.83    0.1%    0.98
3d_gauss deg=10 dim=3 N=1000000                 16.70    0.8%        17.19    0.6%    1.03
3d_gauss deg=10 dim=3 N=1024                    10.90    1.0%        12.30    0.7%    1.13
3d_gauss deg=10 dim=3 N=32                       2.50    3.8%         2.73    0.2%    1.09
3d_gauss deg=6 dim=3 N=1                        11.83    0.1%        12.95    0.1%    1.09
3d_gauss deg=6 dim=3 N=1000000                  17.30    1.1%        18.21    0.6%    1.05
3d_gauss deg=6 dim=3 N=1024                      3.52    7.5%         3.88    7.1%    1.10 !
3d_gauss deg=6 dim=3 N=32                        0.71    1.6%         0.81    0.4%    1.13
3d_gauss deg=8 dim=3 N=1                         7.61    0.3%         7.86    0.0%    1.03
3d_gauss deg=8 dim=3 N=1000000                  22.76    0.5%        23.34    0.5%    1.03
3d_gauss deg=8 dim=3 N=1024                      5.42    0.9%         6.23    0.8%    1.15
3d_gauss deg=8 dim=3 N=32                        3.86    5.1%         4.47    1.2%    1.16 !
3d_imq deg=8 dim=3 N=1                           7.37    0.6%         8.26    0.1%    1.12
3d_imq deg=8 dim=3 N=1000000                    20.07    0.4%        21.43    2.4%    1.07
