# A = bench/baseline_post23_nb.txt    B = bench/sort_descent_nb.txt
cell                                       A MEvals/s  A err%   B MEvals/s  B err%     B/A
1d_bessel_j0 deg=8 dim=1 N=1                    59.49    0.1%        63.84    0.5%    1.07
1d_bessel_j0 deg=8 dim=1 N=1000000              50.47    0.3%        50.64    0.5%    1.00
1d_bessel_j0 deg=8 dim=1 N=1024                 64.00    0.6%        64.96    0.2%    1.02
1d_bessel_j0 deg=8 dim=1 N=32                   43.71    0.5%        47.50    0.7%    1.09
1d_erf deg=8 dim=1 N=1                          80.89    0.7%        76.21    0.3%    0.94
1d_erf deg=8 dim=1 N=1000000                    48.93    1.0%        48.07    0.5%    0.98
1d_erf deg=8 dim=1 N=1024                       86.20    0.4%        87.46    1.9%    1.01
1d_erf deg=8 dim=1 N=32                         69.88    0.7%        68.99    0.8%    0.99
1d_log1p deg=8 dim=1 N=1                        66.58    0.3%        69.10    1.1%    1.04
1d_log1p deg=8 dim=1 N=1000000                  31.59    0.7%        28.63    2.6%    0.91
1d_log1p deg=8 dim=1 N=1024                    106.30    0.2%       100.92    1.1%    0.95
1d_log1p deg=8 dim=1 N=32                       79.87    1.0%        79.60    1.0%    1.00
1d_runge deg=10 dim=1 N=1                       78.35    2.2%        75.02    1.2%    0.96
1d_runge deg=10 dim=1 N=1000000                 39.21    0.2%        37.03    0.3%    0.94
1d_runge deg=10 dim=1 N=1024                    98.61    2.3%        99.29    1.0%    1.01
1d_runge deg=10 dim=1 N=32                      75.09    1.7%        76.80    1.3%    1.02
1d_runge deg=6 dim=1 N=1                        58.52    4.7%        37.79   14.0%    0.65 !
1d_runge deg=6 dim=1 N=1000000                  33.32    1.6%        34.08    0.4%    1.02
1d_runge deg=6 dim=1 N=1024                     42.05    2.6%        54.65    1.3%    1.30
1d_runge deg=6 dim=1 N=32                       35.62    2.9%        34.66    3.1%    0.97
1d_runge deg=8 dim=1 N=1                        79.35    4.5%        80.81    1.5%    1.02
1d_runge deg=8 dim=1 N=1000000                  31.88    1.1%        31.41    0.9%    0.99
1d_runge deg=8 dim=1 N=1024                     75.87    2.9%        83.41    3.0%    1.10
1d_runge deg=8 dim=1 N=32                       57.62    0.9%        60.46    0.9%    1.05
1d_tanh_sharp deg=10 dim=1 N=1                 102.40    0.3%       102.67    0.1%    1.00
1d_tanh_sharp deg=10 dim=1 N=1000000            34.33    0.5%        33.44    0.5%    0.97
1d_tanh_sharp deg=10 dim=1 N=1024              113.51    0.3%       108.91    0.5%    0.96
1d_tanh_sharp deg=10 dim=1 N=32                 88.60    0.4%        88.09    0.6%    0.99
2d_bump deg=10 dim=2 N=1                        19.17    0.4%        15.60    0.5%    0.81
2d_bump deg=10 dim=2 N=1000000                  24.76    0.3%        21.31    0.4%    0.86
2d_bump deg=10 dim=2 N=1024                     17.48    1.0%        16.40    2.0%    0.94
2d_bump deg=10 dim=2 N=32                        6.38    1.8%         5.68    2.2%    0.89
2d_bump deg=6 dim=2 N=1                         25.73    0.7%        20.92    0.1%    0.81
2d_bump deg=6 dim=2 N=1000000                   11.07    1.8%         8.07    3.3%    0.73
2d_bump deg=6 dim=2 N=1024                       4.30    5.7%         3.65    3.2%    0.85 !
2d_bump deg=6 dim=2 N=32                         0.25    1.0%         0.22    0.3%    0.88
