# A = bench/baseline_post23_nb.txt    B = bench/sort_descent_v2_nb.txt
cell                                       A MEvals/s  A err%   B MEvals/s  B err%     B/A
1d_bessel_j0 deg=8 dim=1 N=1                    59.49    0.1%        33.97    6.8%    0.57 !
1d_bessel_j0 deg=8 dim=1 N=1000000              50.47    0.3%        45.53    2.0%    0.90
1d_bessel_j0 deg=8 dim=1 N=1024                 64.00    0.6%        54.97    4.7%    0.86
1d_bessel_j0 deg=8 dim=1 N=32                   43.71    0.5%        42.49    3.3%    0.97
1d_erf deg=8 dim=1 N=1                          80.89    0.7%        78.35    0.1%    0.97
1d_erf deg=8 dim=1 N=1000000                    48.93    1.0%        46.59    0.8%    0.95
1d_erf deg=8 dim=1 N=1024                       86.20    0.4%        79.84    1.1%    0.93
1d_erf deg=8 dim=1 N=32                         69.88    0.7%        37.58    1.2%    0.54
1d_log1p deg=8 dim=1 N=1                        66.58    0.3%        66.95    0.2%    1.01
1d_log1p deg=8 dim=1 N=1000000                  31.59    0.7%        28.01    0.1%    0.89
1d_log1p deg=8 dim=1 N=1024                    106.30    0.2%       106.69    0.4%    1.00
1d_log1p deg=8 dim=1 N=32                       79.87    1.0%        79.07    1.9%    0.99
1d_runge deg=10 dim=1 N=1                       78.35    2.2%        73.57    0.6%    0.94
1d_runge deg=10 dim=1 N=1000000                 39.21    0.2%        37.06    0.3%    0.95
1d_runge deg=10 dim=1 N=1024                    98.61    2.3%        97.76    0.6%    0.99
1d_runge deg=10 dim=1 N=32                      75.09    1.7%        38.50    0.2%    0.51
1d_runge deg=6 dim=1 N=1                        58.52    4.7%        69.90    1.1%    1.19
1d_runge deg=6 dim=1 N=1000000                  33.32    1.6%        35.21    0.4%    1.06
1d_runge deg=6 dim=1 N=1024                     42.05    2.6%        61.31    1.9%    1.46
1d_runge deg=6 dim=1 N=32                       35.62    2.9%        45.09    3.8%    1.27
1d_runge deg=8 dim=1 N=1                        79.35    4.5%        80.74    0.3%    1.02
1d_runge deg=8 dim=1 N=1000000                  31.88    1.1%        31.47    0.3%    0.99
1d_runge deg=8 dim=1 N=1024                     75.87    2.9%        89.30    0.3%    1.18
1d_runge deg=8 dim=1 N=32                       57.62    0.9%        64.11    0.7%    1.11
1d_tanh_sharp deg=10 dim=1 N=1                 102.40    0.3%        90.21    0.2%    0.88
1d_tanh_sharp deg=10 dim=1 N=1000000            34.33    0.5%        32.66    2.1%    0.95
1d_tanh_sharp deg=10 dim=1 N=1024              113.51    0.3%       101.20    1.3%    0.89
1d_tanh_sharp deg=10 dim=1 N=32                 88.60    0.4%        81.90    1.8%    0.92
2d_bump deg=10 dim=2 N=1                        19.17    0.4%        16.87    0.3%    0.88
2d_bump deg=10 dim=2 N=1000000                  24.76    0.3%        19.81    2.0%    0.80
2d_bump deg=10 dim=2 N=1024                     17.48    1.0%        17.32    1.4%    0.99
2d_bump deg=10 dim=2 N=32                        6.38    1.8%         5.94    0.7%    0.93
2d_bump deg=6 dim=2 N=1                         25.73    0.7%        19.30    0.1%    0.75
2d_bump deg=6 dim=2 N=1000000                   11.07    1.8%         9.66    3.7%    0.87
2d_bump deg=6 dim=2 N=1024                       4.30    5.7%         3.72    2.9%    0.87 !
2d_bump deg=6 dim=2 N=32                         0.25    1.0%         0.22    0.3%    0.85
2d_bump deg=8 dim=2 N=1                         19.42    0.1%        17.01    0.1%    0.88
2d_bump deg=8 dim=2 N=1000000                   20.24    0.4%        18.29    0.5%    0.90
2d_bump deg=8 dim=2 N=1024                      15.36    1.1%        13.25    1.7%    0.86
2d_bump deg=8 dim=2 N=32                         3.10    1.4%         2.81    0.3%    0.91
2d_mq deg=8 dim=2 N=1                           25.96    0.1%        21.68    0.1%    0.84
2d_mq deg=8 dim=2 N=1000000                     51.48    0.7%        45.33    0.8%    0.88
2d_mq deg=8 dim=2 N=1024                        54.86    0.6%        53.15    0.1%    0.97
2d_mq deg=8 dim=2 N=32                          21.79    2.7%        19.97    0.8%    0.92
2d_osc deg=8 dim=2 N=1                          19.97    2.6%        15.37    2.3%    0.77
2d_osc deg=8 dim=2 N=1000000                    37.73    0.2%        31.52    1.5%    0.84
2d_osc deg=8 dim=2 N=1024                       21.22    0.7%        19.81    0.4%    0.93
2d_osc deg=8 dim=2 N=32                         11.42    4.2%         9.85    0.9%    0.86
3d_gauss deg=10 dim=3 N=1                        4.92    0.2%         4.54    0.5%    0.92
3d_gauss deg=10 dim=3 N=1000000                 16.15    0.6%        15.97    1.4%    0.99
3d_gauss deg=10 dim=3 N=1024                    10.59    0.5%        11.15    0.8%    1.05
3d_gauss deg=10 dim=3 N=32                       2.40    4.0%         2.49    1.4%    1.03
3d_gauss deg=6 dim=3 N=1                        12.24    0.6%         9.01    0.1%    0.74
3d_gauss deg=6 dim=3 N=1000000                  17.31    3.2%        16.21    0.6%    0.94
3d_gauss deg=6 dim=3 N=1024                      3.62   10.0%         3.47   11.0%    0.96 !
3d_gauss deg=6 dim=3 N=32                        0.73    1.5%         0.68    0.2%    0.93
3d_gauss deg=8 dim=3 N=1                         7.69    0.9%         7.07    0.0%    0.92
3d_gauss deg=8 dim=3 N=1000000                  22.82    0.6%        22.96    2.4%    1.01
3d_gauss deg=8 dim=3 N=1024                      5.36    1.8%         5.86    0.9%    1.10
