# A = /tmp/v5_baseline_now.txt    B = bench/sort_idx_v5_nb.txt
cell                                       A MEvals/s  A err%   B MEvals/s  B err%     B/A
1d_bessel_j0 deg=8 dim=1 N=1                    34.67    0.7%        34.84    0.1%    1.00
1d_bessel_j0 deg=8 dim=1 N=1000000              29.33    0.6%        29.24    0.5%    1.00
1d_bessel_j0 deg=8 dim=1 N=1024                 37.06    0.5%        37.83    0.3%    1.02
1d_bessel_j0 deg=8 dim=1 N=32                   25.11    0.4%        27.09    3.5%    1.08
1d_erf deg=8 dim=1 N=1                          46.12    0.4%        46.65    1.1%    1.01
1d_erf deg=8 dim=1 N=1000000                    27.87    0.4%        27.59    0.1%    0.99
1d_erf deg=8 dim=1 N=1024                       47.87    2.0%        43.70    0.8%    0.91
1d_erf deg=8 dim=1 N=32                         41.80    0.5%        40.86    0.4%    0.98
1d_log1p deg=8 dim=1 N=1                        40.34    0.1%        40.71    0.4%    1.01
1d_log1p deg=8 dim=1 N=1000000                  17.53    0.3%        17.52    0.4%    1.00
1d_log1p deg=8 dim=1 N=1024                     60.31    0.6%        56.94    5.5%    0.94 !
1d_log1p deg=8 dim=1 N=32                       49.18    0.8%        47.68    2.8%    0.97
1d_runge deg=10 dim=1 N=1                       44.69    0.4%        44.55    0.2%    1.00
1d_runge deg=10 dim=1 N=1000000                 22.20    0.4%        21.54    0.5%    0.97
1d_runge deg=10 dim=1 N=1024                    55.11    0.3%        60.39    0.7%    1.10
1d_runge deg=10 dim=1 N=32                      47.21    0.5%        45.33    0.4%    0.96
1d_runge deg=6 dim=1 N=1                        35.75    0.5%        36.15    0.4%    1.01
1d_runge deg=6 dim=1 N=1000000                  18.91    1.3%        19.48    0.5%    1.03
1d_runge deg=6 dim=1 N=1024                     31.22    1.1%         6.72    2.0%    0.22
1d_runge deg=6 dim=1 N=32                       25.30    0.7%        25.36    1.2%    1.00
1d_runge deg=8 dim=1 N=1                        46.35    1.3%        47.49    0.9%    1.02
1d_runge deg=8 dim=1 N=1000000                  18.41    0.3%        18.12    0.3%    0.98
1d_runge deg=8 dim=1 N=1024                     55.45    0.4%        51.59    0.6%    0.93
1d_runge deg=8 dim=1 N=32                       37.58    2.4%        37.45    0.7%    1.00
1d_tanh_sharp deg=10 dim=1 N=1                  60.49    0.5%        58.21    0.1%    0.96
1d_tanh_sharp deg=10 dim=1 N=1000000            20.00    0.3%        19.82    0.4%    0.99
1d_tanh_sharp deg=10 dim=1 N=1024               65.30    0.4%        65.85    0.3%    1.01
1d_tanh_sharp deg=10 dim=1 N=32                 52.63    0.7%        52.62    1.2%    1.00
2d_bump deg=10 dim=2 N=1                        10.12    0.6%        10.18    0.1%    1.01
2d_bump deg=10 dim=2 N=1000000                   8.22    1.5%         8.03    2.0%    0.98
2d_bump deg=10 dim=2 N=1024                     10.50    1.0%        10.22    2.1%    0.97
2d_bump deg=10 dim=2 N=32                        3.67    0.3%         3.62    1.5%    0.99
2d_bump deg=6 dim=2 N=1                         15.93    0.8%        15.20    0.2%    0.95
2d_bump deg=6 dim=2 N=1000000                    3.89    4.1%         4.21    1.1%    1.08
2d_bump deg=6 dim=2 N=1024                       2.21    3.9%         2.11    7.8%    0.95 !
2d_bump deg=6 dim=2 N=32                         0.16    1.9%         0.15    2.8%    0.95
2d_bump deg=8 dim=2 N=1                         10.23    0.1%        10.22    0.1%    1.00
2d_bump deg=8 dim=2 N=1000000                    8.03    0.9%         8.09    0.5%    1.01
2d_bump deg=8 dim=2 N=1024                       8.24    1.5%         8.10    0.7%    0.98
2d_bump deg=8 dim=2 N=32                         1.70    0.2%         1.70    0.1%    1.00
2d_mq deg=8 dim=2 N=1                           13.48    0.3%        13.60    0.0%    1.01
2d_mq deg=8 dim=2 N=1000000                     27.42    2.2%        28.43    0.7%    1.04
2d_mq deg=8 dim=2 N=1024                        33.12    0.2%        33.72    0.1%    1.02
2d_mq deg=8 dim=2 N=32                          12.96    0.6%        13.01    0.6%    1.00
2d_osc deg=8 dim=2 N=1                          11.03    0.5%        10.89    0.2%    0.99
2d_osc deg=8 dim=2 N=1000000                    11.69    1.6%        12.62    1.6%    1.08
2d_osc deg=8 dim=2 N=1024                       12.44    0.4%        12.61    0.9%    1.01
2d_osc deg=8 dim=2 N=32                          5.86    0.6%         6.56    0.4%    1.12
3d_gauss deg=10 dim=3 N=1                        2.67    0.2%         2.67    0.4%    1.00
3d_gauss deg=10 dim=3 N=1000000                  9.68    1.1%         9.81    8.0%    1.01 !
3d_gauss deg=10 dim=3 N=1024                     6.83    0.6%         6.89    0.1%    1.01
3d_gauss deg=10 dim=3 N=32                       1.52    0.1%         1.48    1.0%    0.98
3d_gauss deg=6 dim=3 N=1                        14.57    1.1%        12.51    0.9%    0.86
3d_gauss deg=6 dim=3 N=1000000                   4.41    2.8%         4.66    4.5%    1.06
3d_gauss deg=6 dim=3 N=1024                      2.74   18.0%         3.14   23.8%    1.15 !
3d_gauss deg=6 dim=3 N=32                        0.87    1.5%         0.88    1.6%    1.01
3d_gauss deg=8 dim=3 N=1                         4.13    0.1%         3.62   12.8%    0.88 !
3d_gauss deg=8 dim=3 N=1000000                   4.44    0.5%         4.48    0.5%    1.01
3d_gauss deg=8 dim=3 N=1024                      3.53    1.0%         3.48    0.9%    0.99
3d_gauss deg=8 dim=3 N=32                        2.40    0.3%         2.41    0.6%    1.00
3d_imq deg=8 dim=3 N=1                           4.54    0.5%         4.92    0.1%    1.08
3d_imq deg=8 dim=3 N=1000000                     4.19    0.4%         4.21    0.4%    1.00
